orphan_ref,candidate_trade_refs,candidate_count
CONFIRM-ORPHAN-000030,binance:6582451490;binance:6582451491;binance:6582451664;binance:6582452753;binance:6582455578;binance:6582455789;binance:6582457669;binance:6582458834;binance:6582460200;binance:6582461627;binance:6582462913;binance:6582464469,12
CONFIRM-ORPHAN-000031,coinbase:1073148419,1
CONFIRM-ORPHAN-000032,coinbase:1073146456;coinbase:1073149787,2
CONFIRM-ORPHAN-000033,binance:6582460948,1
CONFIRM-ORPHAN-000034,,0
CONFIRM-ORPHAN-000035,coinbase:1073149393,1
CONFIRM-ORPHAN-000036,binance:6582449608;binance:6582454374;binance:6582458243;binance:6582459083,4
CONFIRM-ORPHAN-000037,coinbase:1073149525,1
CONFIRM-ORPHAN-000038,coinbase:1073146575;coinbase:1073149993,2
CONFIRM-ORPHAN-000039,coinbase:1073147986,1
CONFIRM-ORPHAN-000040,,0
CONFIRM-ORPHAN-000041,,0
CONFIRM-ORPHAN-000042,,0
CONFIRM-ORPHAN-000043,coinbase:1073149393,1
CONFIRM-ORPHAN-000044,coinbase:1073147986,1
CONFIRM-ORPHAN-000045,binance:6582449608;binance:6582454374;binance:6582458243;binance:6582459083,4
CONFIRM-ORPHAN-000046,binance:6582452768;binance:6582460101,2
CONFIRM-ORPHAN-000047,binance:6582451765;binance:6582454412;binance:6582454824;binance:6582460467;binance:6582464962;binance:6582465047,6
CONFIRM-ORPHAN-000048,,0
CONFIRM-ORPHAN-000049,,0
CONFIRM-ORPHAN-000050,,0
CONFIRM-ORPHAN-000051,coinbase:1073146276;coinbase:1073146456;coinbase:1073149787,3
CONFIRM-ORPHAN-000052,binance:6582453002,1
CONFIRM-ORPHAN-000053,coinbase:1073148312,1
CONFIRM-ORPHAN-000054,coinbase:1073147884,1
CONFIRM-ORPHAN-000055,binance:6582451490;binance:6582451491;binance:6582451664;binance:6582452753;binance:6582455578;binance:6582455789;binance:6582457669;binance:6582458834;binance:6582460200;binance:6582461627;binance:6582462913;binance:6582464469,12
CONFIRM-ORPHAN-000056,coinbase:1073146575;coinbase:1073149993,2
CONFIRM-ORPHAN-000057,binance:6582456864;binance:6582461716;binance:6582462437,3
CONFIRM-ORPHAN-000058,coinbase:1073146276;coinbase:1073146456;coinbase:1073149787,3
CONFIRM-ORPHAN-000059,,0
CONFIRM-ORPHAN-000060,binance:6582451765;binance:6582454412;binance:6582454824;binance:6582460467;binance:6582464962;binance:6582465047,6
CONFIRM-ORPHAN-000061,binance:6582461076,1
CONFIRM-ORPHAN-000062,,0
CONFIRM-ORPHAN-000063,coinbase:1073148562,1
CONFIRM-ORPHAN-000064,coinbase:1073148190,1
CONFIRM-ORPHAN-000065,binance:6582461076,1
CONFIRM-ORPHAN-000066,,0
CONFIRM-ORPHAN-000067,binance:6582452710;binance:6582453886;binance:6582458521;binance:6582458953;binance:6582459883;binance:6582460668,6
CONFIRM-ORPHAN-000068,coinbase:1073146023;coinbase:1073150417,2
CONFIRM-ORPHAN-000069,binance:6582449608;binance:6582454374;binance:6582458243;binance:6582459083,4
CONFIRM-ORPHAN-000070,binance:6582451490;binance:6582451491;binance:6582451664;binance:6582452753;binance:6582455578;binance:6582455789;binance:6582457669;binance:6582458834;binance:6582460200;binance:6582461627;binance:6582462913;binance:6582464469,12
CONFIRM-ORPHAN-000071,,0
CONFIRM-ORPHAN-000072,binance:6582452710;binance:6582453886;binance:6582458521;binance:6582458953;binance:6582459883;binance:6582460668;binance:6582461718,7
CONFIRM-ORPHAN-000073,,0
CONFIRM-ORPHAN-000074,binance:6582461715,1
CONFIRM-ORPHAN-000075,coinbase:1073145910,1
CONFIRM-ORPHAN-000076,coinbase:1073146276;coinbase:1073146456;coinbase:1073149787,3
CONFIRM-ORPHAN-000077,coinbase:1073146276;coinbase:1073146456;coinbase:1073149787,3
CONFIRM-ORPHAN-000078,,0
CONFIRM-ORPHAN-000079,,0
CONFIRM-ORPHAN-000080,coinbase:1073149097,1
CONFIRM-ORPHAN-000081,,0
CONFIRM-ORPHAN-000082,,0
CONFIRM-ORPHAN-000083,coinbase:1073146276;coinbase:1073146456;coinbase:1073149787,3
CONFIRM-ORPHAN-000084,binance:6582463936,1
CONFIRM-ORPHAN-000085,,0
CONFIRM-ORPHAN-000086,coinbase:1073146276;coinbase:1073146456;coinbase:1073149787,3
CONFIRM-ORPHAN-000087,binance:6582454453;binance:6582459479,2
CONFIRM-ORPHAN-000088,,0
CONFIRM-ORPHAN-000089,binance:6582460286;binance:6582464030,2
CONFIRM-ORPHAN-000090,coinbase:1073146044;coinbase:1073148283;coinbase:1073150266,3
CONFIRM-ORPHAN-000091,coinbase:1073146276;coinbase:1073146456;coinbase:1073149787,3
CONFIRM-ORPHAN-000092,binance:6582461441,1
CONFIRM-ORPHAN-000093,binance:6582456286,1
CONFIRM-ORPHAN-000094,,0
CONFIRM-ORPHAN-000095,,0
CONFIRM-ORPHAN-000096,binance:6582451490;binance:6582451491;binance:6582451664;binance:6582452753;binance:6582455578;binance:6582455789;binance:6582457669;binance:6582458834;binance:6582460200;binance:6582461627;binance:6582462913;binance:6582464469,12
CONFIRM-ORPHAN-000097,coinbase:1073145910,1
CONFIRM-ORPHAN-000098,kraken:105348314,1
CONFIRM-ORPHAN-000099,coinbase:1073146276;coinbase:1073146456;coinbase:1073149787,3
CONFIRM-ORPHAN-000100,,0
CONFIRM-ORPHAN-000101,coinbase:1073148190,1
CONFIRM-ORPHAN-000102,binance:6582452866;binance:6582452868;binance:6582455660,3
CONFIRM-ORPHAN-000103,coinbase:1073147986,1
CONFIRM-ORPHAN-000104,,0
CONFIRM-ORPHAN-000105,,0
CONFIRM-ORPHAN-000106,binance:6582451490;binance:6582451491;binance:6582451664;binance:6582452753;binance:6582455578;binance:6582455789;binance:6582457669;binance:6582458834;binance:6582460200;binance:6582461627;binance:6582462913;binance:6582464469,12
CONFIRM-ORPHAN-000107,kraken:105348643,1
CONFIRM-ORPHAN-000108,binance:6582451490;binance:6582451491;binance:6582451664;binance:6582452753;binance:6582455578;binance:6582455789;binance:6582457669;binance:6582458834;binance:6582460200;binance:6582461627;binance:6582462913;binance:6582464469,12
CONFIRM-ORPHAN-000109,,0
