orphan_ref,candidate_trade_refs,candidate_count
CLEARING-ORPHAN-000055,coinbase:1073148888;coinbase:1073150316,2
CLEARING-ORPHAN-000056,coinbase:1073147894,1
CLEARING-ORPHAN-000057,,0
CLEARING-ORPHAN-000058,,0
CLEARING-ORPHAN-000059,coinbase:1073149549;coinbase:1073149703,2
CLEARING-ORPHAN-000060,binance:6582461697,1
CLEARING-ORPHAN-000061,binance:6582464491,1
CLEARING-ORPHAN-000062,binance:6582452946,1
CLEARING-ORPHAN-000063,coinbase:1073146220;coinbase:1073146552;coinbase:1073146655;coinbase:1073146992;coinbase:1073147487;coinbase:1073147872;coinbase:1073149161;coinbase:1073149299;coinbase:1073149374,9
CLEARING-ORPHAN-000064,,0
CLEARING-ORPHAN-000065,binance:6582452946,1
CLEARING-ORPHAN-000066,,0
CLEARING-ORPHAN-000067,binance:6582457233;binance:6582457690;binance:6582461217;binance:6582462723;binance:6582462752;binance:6582465213,6
CLEARING-ORPHAN-000068,binance:6582451639;binance:6582452322;binance:6582453983;binance:6582458130;binance:6582459088;binance:6582462385;binance:6582463926;binance:6582464445;binance:6582465047,9
CLEARING-ORPHAN-000069,binance:6582451639;binance:6582452322;binance:6582453983;binance:6582458130;binance:6582459088;binance:6582462385;binance:6582463926;binance:6582464445;binance:6582465047,9
CLEARING-ORPHAN-000070,binance:6582460725;binance:6582462778,2
CLEARING-ORPHAN-000071,binance:6582450545;binance:6582452809;binance:6582453809;binance:6582454491;binance:6582460602,5
CLEARING-ORPHAN-000072,binance:6582453801;binance:6582454552;binance:6582455888;binance:6582458831;binance:6582460200;binance:6582460409;binance:6582461897;binance:6582462194;binance:6582462422;binance:6582464167;binance:6582464444;binance:6582465100;binance:6582465133,13
CLEARING-ORPHAN-000073,coinbase:1073146348;coinbase:1073146730,2
CLEARING-ORPHAN-000074,binance:6582454162;binance:6582455630,2
CLEARING-ORPHAN-000075,coinbase:1073146220;coinbase:1073146552;coinbase:1073146655;coinbase:1073146992;coinbase:1073147487;coinbase:1073147872;coinbase:1073149161;coinbase:1073149299;coinbase:1073149374,9
CLEARING-ORPHAN-000076,binance:6582451639;binance:6582452322;binance:6582453906;binance:6582453983;binance:6582458130;binance:6582459088;binance:6582462385;binance:6582463926;binance:6582464445;binance:6582465047,10
CLEARING-ORPHAN-000077,,0
CLEARING-ORPHAN-000078,,0
CLEARING-ORPHAN-000079,binance:6582451639;binance:6582452322;binance:6582453906;binance:6582453983;binance:6582458130;binance:6582459088;binance:6582462385;binance:6582463926;binance:6582464445;binance:6582465047,10
CLEARING-ORPHAN-000080,binance:6582457690;binance:6582462752;binance:6582465213,3
CLEARING-ORPHAN-000081,,0
CLEARING-ORPHAN-000082,,0
CLEARING-ORPHAN-000083,coinbase:1073146132,1
CLEARING-ORPHAN-000084,,0
CLEARING-ORPHAN-000085,binance:6582453801;binance:6582454552;binance:6582455888;binance:6582458831;binance:6582460200;binance:6582460409;binance:6582461897;binance:6582462194;binance:6582462422;binance:6582464167;binance:6582464444;binance:6582465100;binance:6582465133,13
CLEARING-ORPHAN-000086,,0
CLEARING-ORPHAN-000087,coinbase:1073150172,1
CLEARING-ORPHAN-000088,,0
CLEARING-ORPHAN-000089,,0
CLEARING-ORPHAN-000090,,0
CLEARING-ORPHAN-000091,coinbase:1073147697,1
CLEARING-ORPHAN-000092,,0
CLEARING-ORPHAN-000093,,0
CLEARING-ORPHAN-000094,binance:6582457233;binance:6582461217;binance:6582462723,3
CLEARING-ORPHAN-000095,binance:6582452482;binance:6582462236,2
CLEARING-ORPHAN-000096,,0
CLEARING-ORPHAN-000097,coinbase:1073148603,1
CLEARING-ORPHAN-000098,coinbase:1073149549;coinbase:1073149703,2
CLEARING-ORPHAN-000099,binance:6582450251;binance:6582457690;binance:6582461809;binance:6582462752;binance:6582465213,5
CLEARING-ORPHAN-000100,binance:6582457233;binance:6582457690;binance:6582461217;binance:6582462723;binance:6582462752;binance:6582465213,6
CLEARING-ORPHAN-000101,binance:6582454536;binance:6582460033;binance:6582461490,3
CLEARING-ORPHAN-000102,,0
CLEARING-ORPHAN-000103,,0
CLEARING-ORPHAN-000104,binance:6582457233;binance:6582461217;binance:6582462723,3
CLEARING-ORPHAN-000105,kraken:105348398,1
CLEARING-ORPHAN-000106,coinbase:1073150610,1
CLEARING-ORPHAN-000107,binance:6582453801;binance:6582454552;binance:6582455888;binance:6582458831;binance:6582460200;binance:6582460409;binance:6582461897;binance:6582462194;binance:6582462422;binance:6582464167;binance:6582464444;binance:6582465100;binance:6582465133,13
CLEARING-ORPHAN-000108,binance:6582455213,1
CLEARING-ORPHAN-000109,,0
