trade_id_ref,stage,root_cause_category,origin_date,resolved_date,resolution_days,still_open_at_window_end,max_escalation_tier_reached
coinbase:1073145836,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073145838,clearing,TIMING,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073145853,clearing,TIMING,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073145852,clearing,TIMING,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
coinbase:1073145863,clearing,PRICING,2026-08-19,2026-08-25,6,False,TIER2_ESCALATED
coinbase:1073145865,clearing,MISSING_RECORD,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073145874,clearing,QUANTITY,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073145879,clearing,PRICING,2026-08-19,2026-08-25,6,False,TIER2_ESCALATED
coinbase:1073145888,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073145893,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073145903,clearing,PRICING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
kraken:105348299,clearing,TIMING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073145917,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073145927,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073145964,clearing,PRICING,2026-08-19,2026-08-22,3,False,TIER2_ESCALATED
coinbase:1073145957,clearing,QUANTITY,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073145949,clearing,QUANTITY,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073145974,clearing,PRICING,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073145972,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073145971,clearing,MISSING_RECORD,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
coinbase:1073145970,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073145968,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073145980,clearing,TIMING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073145976,clearing,PRICING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073145985,clearing,MISSING_RECORD,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146027,clearing,PRICING,2026-08-19,2026-08-22,3,False,TIER2_ESCALATED
kraken:105348303,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348316,clearing,MISSING_RECORD,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146056,clearing,QUANTITY,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073146067,clearing,QUANTITY,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146066,clearing,QUANTITY,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146080,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146081,clearing,QUANTITY,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073146089,clearing,PRICING,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073146097,clearing,REFERENCE_DATA,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
coinbase:1073146101,clearing,PRICING,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073146102,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146121,clearing,QUANTITY,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073146125,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146132,clearing,MISSING_RECORD,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073146134,clearing,REFERENCE_DATA,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146161,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146158,clearing,MISSING_RECORD,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146172,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146182,clearing,QUANTITY,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146201,clearing,TIMING,2026-08-19,2026-08-22,3,False,TIER2_ESCALATED
coinbase:1073146215,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146216,clearing,TIMING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146219,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146220,clearing,MISSING_RECORD,2026-08-19,2026-08-22,3,False,TIER2_ESCALATED
kraken:105348323,clearing,PRICING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146259,clearing,TIMING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146272,clearing,QUANTITY,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146290,clearing,REFERENCE_DATA,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073146320,clearing,TIMING,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073146348,clearing,MISSING_RECORD,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073146364,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146366,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146365,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146371,clearing,TIMING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146376,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146380,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146386,clearing,QUANTITY,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146392,clearing,REFERENCE_DATA,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073146395,clearing,QUANTITY,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
coinbase:1073146400,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146426,clearing,REFERENCE_DATA,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073146427,clearing,MISSING_RECORD,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146429,clearing,PRICING,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
kraken:105348338,clearing,PRICING,2026-08-19,,,True,TIER4_CRITICAL_AGED
kraken:105348340,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146449,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146450,clearing,TIMING,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
coinbase:1073146464,clearing,REFERENCE_DATA,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146468,clearing,TIMING,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
coinbase:1073146470,clearing,PRICING,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073146472,clearing,TIMING,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073146473,clearing,QUANTITY,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073146478,clearing,QUANTITY,2026-08-19,2026-08-22,3,False,TIER2_ESCALATED
coinbase:1073146481,clearing,TIMING,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073146479,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146484,clearing,PRICING,2026-08-19,2026-08-24,5,False,TIER2_ESCALATED
coinbase:1073146498,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146501,clearing,QUANTITY,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073146512,clearing,PRICING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146517,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146520,clearing,TIMING,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073146526,clearing,PRICING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146542,clearing,TIMING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146541,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146536,clearing,QUANTITY,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
coinbase:1073146535,clearing,PRICING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146543,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348351,clearing,QUANTITY,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073146546,clearing,QUANTITY,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
coinbase:1073146547,clearing,TIMING,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
coinbase:1073146552,clearing,MISSING_RECORD,2026-08-19,2026-08-22,3,False,TIER2_ESCALATED
coinbase:1073146551,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146555,clearing,REFERENCE_DATA,2026-08-19,2026-08-25,6,False,TIER2_ESCALATED
coinbase:1073146559,clearing,PRICING,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
coinbase:1073146562,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146593,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146594,clearing,PRICING,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
coinbase:1073146595,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348365,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348367,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146609,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146626,clearing,QUANTITY,2026-08-19,2026-08-24,5,False,TIER2_ESCALATED
coinbase:1073146637,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348385,clearing,QUANTITY,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
kraken:105348387,clearing,QUANTITY,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073146659,clearing,MISSING_RECORD,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146655,clearing,MISSING_RECORD,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146654,clearing,MISSING_RECORD,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348390,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348391,clearing,QUANTITY,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146669,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348396,clearing,REFERENCE_DATA,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348398,clearing,MISSING_RECORD,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348399,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146690,clearing,QUANTITY,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073146694,clearing,MISSING_RECORD,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073146700,clearing,TIMING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146728,clearing,TIMING,2026-08-19,2026-08-24,5,False,TIER2_ESCALATED
coinbase:1073146730,clearing,MISSING_RECORD,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073146751,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146755,clearing,PRICING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146778,clearing,TIMING,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073146779,clearing,QUANTITY,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146780,clearing,QUANTITY,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073146782,clearing,PRICING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146799,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146805,clearing,QUANTITY,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073146809,clearing,QUANTITY,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073146816,clearing,REFERENCE_DATA,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073146819,clearing,PRICING,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
coinbase:1073146832,clearing,QUANTITY,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073146834,clearing,TIMING,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
kraken:105348414,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146865,clearing,TIMING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
kraken:105348431,clearing,QUANTITY,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
coinbase:1073146885,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146897,clearing,QUANTITY,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073146901,clearing,REFERENCE_DATA,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146919,clearing,QUANTITY,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146925,clearing,PRICING,2026-08-19,2026-08-25,6,False,TIER2_ESCALATED
coinbase:1073146944,clearing,TIMING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073146954,clearing,REFERENCE_DATA,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146956,clearing,TIMING,2026-08-19,2026-08-22,3,False,TIER2_ESCALATED
coinbase:1073146961,clearing,TIMING,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
coinbase:1073146975,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073146992,clearing,MISSING_RECORD,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073147009,clearing,REFERENCE_DATA,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073147014,clearing,MISSING_RECORD,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073147024,clearing,PRICING,2026-08-19,2026-08-26,7,False,TIER3_MANAGEMENT
coinbase:1073147025,clearing,TIMING,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073147035,clearing,MISSING_RECORD,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073147043,clearing,TIMING,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
binance:6582449431,clearing,TIMING,2026-08-19,2026-08-26,7,False,TIER3_MANAGEMENT
binance:6582449474,clearing,QUANTITY,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073147047,clearing,TIMING,2026-08-19,2026-08-25,6,False,TIER2_ESCALATED
binance:6582449486,clearing,QUANTITY,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
binance:6582449487,clearing,TIMING,2026-08-19,2026-08-24,5,False,TIER2_ESCALATED
coinbase:1073147050,clearing,PRICING,2026-08-19,2026-08-26,7,False,TIER3_MANAGEMENT
coinbase:1073147071,clearing,QUANTITY,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
binance:6582449503,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
binance:6582449537,clearing,TIMING,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
binance:6582449544,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
binance:6582449568,clearing,TIMING,2026-08-19,2026-08-22,3,False,TIER2_ESCALATED
binance:6582449588,clearing,MISSING_RECORD,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
binance:6582449616,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073147079,clearing,MISSING_RECORD,2026-08-19,2026-08-22,3,False,TIER2_ESCALATED
binance:6582449729,clearing,QUANTITY,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
binance:6582449776,clearing,QUANTITY,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073147086,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
binance:6582449789,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
binance:6582449829,clearing,TIMING,2026-08-19,2026-08-26,7,False,TIER3_MANAGEMENT
binance:6582449850,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
binance:6582449872,clearing,QUANTITY,2026-08-19,,,True,TIER4_CRITICAL_AGED
binance:6582449889,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073147100,clearing,REFERENCE_DATA,2026-08-19,2026-08-25,6,False,TIER2_ESCALATED
coinbase:1073147106,clearing,TIMING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073147115,clearing,QUANTITY,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073147129,clearing,PRICING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073147141,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
binance:6582450104,clearing,PRICING,2026-08-19,2026-08-25,6,False,TIER2_ESCALATED
binance:6582450122,clearing,PRICING,2026-08-19,,,True,TIER4_CRITICAL_AGED
binance:6582450129,clearing,PRICING,2026-08-19,,,True,TIER4_CRITICAL_AGED
binance:6582450164,clearing,TIMING,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
binance:6582450193,clearing,TIMING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
binance:6582450196,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
binance:6582450211,clearing,REFERENCE_DATA,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
binance:6582450251,clearing,MISSING_RECORD,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
binance:6582450261,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073147158,clearing,TIMING,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073147164,clearing,MISSING_RECORD,2026-08-19,2026-08-25,6,False,TIER2_ESCALATED
coinbase:1073147165,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
binance:6582450340,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
binance:6582450342,clearing,REFERENCE_DATA,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073147174,clearing,QUANTITY,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073147173,clearing,MISSING_RECORD,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073147179,clearing,QUANTITY,2026-08-19,2026-08-22,3,False,TIER2_ESCALATED
binance:6582450382,clearing,TIMING,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
