trade_id_ref,clearing_ref,reported_venue,reported_symbol,reported_side,reported_price,reported_quantity,statement_date,received_at,is_synthetic,injected_break_type
kraken:105347829,CLEARING-KRA-105347829,kraken,XBTUSD,buy,68585.10000000,0.27008058,2026-08-19,2026-08-19T21:15:15.364676+00:00,1,none
kraken:105347830,CLEARING-KRA-105347830,kraken,XBTUSD,buy,68585.10000000,0.12991942,2026-08-19,2026-08-19T21:25:54.996338+00:00,1,none
kraken:105347831,CLEARING-KRA-105347831,kraken,XBTUSD,buy,68585.10000000,0.00072903,2026-08-19,2026-08-19T20:34:03.722069+00:00,1,none
kraken:105347832,CLEARING-KRA-105347832,kraken,XBTUSD,buy,68950.66319448,0.00010000,2026-08-19,2026-08-19T22:06:40.585821+00:00,1,price_mismatch
kraken:105347833,CLEARING-KRA-105347833,kraken,XBTUSD,buy,68585.10000000,0.00100000,2026-08-19,2026-08-19T21:27:29.576314+00:00,1,none
kraken:105347834,CLEARING-KRA-105347834,kraken,XBTUSD,buy,68585.50000000,0.06777687,2026-08-19,2026-08-19T19:11:10.737160+00:00,1,none
kraken:105347835,CLEARING-KRA-105347835,kraken,XBTUSD,buy,68585.70000000,0.00005100,2026-08-19,2026-08-19T17:35:13.764297+00:00,1,none
kraken:105347836,CLEARING-KRA-105347836,kraken,XBTUSD,buy,68598.70000000,0.10000000,2026-08-19,2026-08-19T20:22:43.189135+00:00,1,none
kraken:105347837,CLEARING-KRA-105347837,kraken,XBTUSD,buy,68598.70000000,0.00072888,2026-08-19,2026-08-19T20:27:07.964460+00:00,1,none
kraken:105347838,CLEARING-KRA-105347838,kraken,XBTUSD,buy,68600.00000000,0.00028726,2026-08-19,2026-08-19T17:35:29.105867+00:00,1,quantity_mismatch
kraken:105347839,CLEARING-KRA-105347839,kraken,XBTUSD,buy,68605.40000000,0.00072887,2026-08-19,2026-08-19T22:08:06.602228+00:00,1,none
kraken:105347840,CLEARING-KRA-105347840,kraken,XBTUSD,sell,68612.00000000,0.06960000,2026-08-19,2026-08-19T19:45:21.671388+00:00,1,none
kraken:105347841,CLEARING-KRA-105347841,kraken,XBTUSD,sell,68612.00000000,0.19396063,2026-08-19,2026-08-19T21:19:42.534481+00:00,1,none
kraken:105347842,CLEARING-KRA-105347842,kraken,XBTUSD,buy,68612.10000000,0.00145700,2026-08-19,2026-08-19T17:57:09.387789+00:00,1,none
kraken:105347843,CLEARING-KRA-105347843,kraken,XBTUSD,buy,69091.94612550,0.00072881,2026-08-19,2026-08-19T17:03:24.770347+00:00,1,price_mismatch
kraken:105347844,CLEARING-KRA-105347844,kraken,XBTUSD,buy,68613.40000000,0.00012200,2026-08-19,2026-08-19T19:48:44.511952+00:00,1,none
kraken:105347845,CLEARING-KRA-105347845,kraken,XBTUSD,sell,68627.60000000,0.00072857,2026-08-19,2026-08-19T17:51:51.126790+00:00,1,none
kraken:105347846,CLEARING-KRA-105347846,kraken,XBTUSD,sell,68627.60000000,0.00100000,2026-08-19,2026-08-19T21:33:37.847665+00:00,1,none
kraken:105347847,CLEARING-KRA-105347847,kraken,XBTUSD,sell,68627.00000000,0.00286809,2026-08-19,2026-08-19T17:28:49.998024+00:00,1,none
kraken:105347848,CLEARING-KRA-105347848,kraken,XBTUSD,sell,68609.90000000,0.00072876,2026-08-19,2026-08-19T20:47:33.496881+00:00,1,none
kraken:105347849,CLEARING-KRA-105347849,kraken,XBTUSD,sell,68606.40000000,0.00005100,2026-08-19,2026-08-19T20:48:13.588507+00:00,1,none
kraken:105347850,CLEARING-KRA-105347850,kraken,XBTUSD,sell,68605.60000000,0.00232105,2026-08-19,2026-08-19T19:54:16.666950+00:00,1,none
kraken:105347851,CLEARING-KRA-105347851,kraken,XBTUSD,sell,68603.00000000,0.00005100,2026-08-19,2026-08-19T22:10:49.765440+00:00,1,none
kraken:105347852,CLEARING-KRA-105347852,kraken,XBTUSD,sell,68600.70000000,0.00041900,2026-08-19,2026-08-19T19:24:34.328567+00:00,1,none
kraken:105347853,CLEARING-KRA-105347853,kraken,XBTUSD,sell,68597.20000000,0.00027089,2026-08-19,2026-08-19T21:25:52.552647+00:00,1,none
kraken:105347854,CLEARING-KRA-105347854,kraken,XBTUSD,buy,68597.30000000,0.38634198,2026-08-19,2026-08-19T17:34:30.592539+00:00,1,none
kraken:105347855,CLEARING-KRA-105347855,kraken,XBTUSD,buy,68597.30000000,0.35136570,2026-08-19,2026-08-19T19:58:31.847713+00:00,1,none
kraken:105347856,CLEARING-KRA-105347856,kraken,XBTUSD,sell,68597.20000000,0.00005000,2026-08-19,2026-08-19T19:58:27.375761+00:00,1,none
kraken:105347857,CLEARING-KRA-105347857,kraken,XBTUSD,buy,68597.30000000,0.01500000,2026-08-19,2026-08-19T18:04:50.915068+00:00,1,none
kraken:105347858,CLEARING-KRA-105347858,kraken,XBTUSD,buy,68597.30000000,0.00100000,2026-08-19,2026-08-19T21:52:53.046547+00:00,1,none
kraken:105347859,CLEARING-KRA-105347859,kraken,XBTUSD,buy,68597.30000000,0.00072890,2026-08-19,2026-08-19T17:19:41.040003+00:00,1,none
kraken:105347860,CLEARING-KRA-105347860,kraken,XBTUSD,buy,68597.30000000,0.00010000,2026-08-19,2026-08-19T20:49:40.295924+00:00,1,none
kraken:105347861,CLEARING-KRA-105347861,kraken,XBTUSD,buy,68597.30000000,0.00100000,2026-08-19,2026-08-19T18:34:08.389858+00:00,1,none
kraken:105347862,CLEARING-KRA-105347862,kraken,XBTUSD,buy,68597.30000000,0.01688630,2026-08-19,2026-08-19T17:34:04.439028+00:00,1,none
kraken:105347864,CLEARING-KRA-105347864,kraken,XBTUSD,buy,68597.30000000,0.00853757,2026-08-19,2026-08-19T20:39:23.667850+00:00,1,none
kraken:105347865,CLEARING-KRA-105347865,kraken,XBTUSD,sell,68597.20000000,0.00067890,2026-08-19,2026-08-19T20:53:25.282844+00:00,1,none
kraken:105347866,CLEARING-KRA-105347866,kraken,XBTUSD,sell,68597.20000000,0.02200000,2026-08-19,2026-08-19T17:17:05.365594+00:00,1,none
kraken:105347867,CLEARING-KRA-105347867,kraken,XBTUSD,sell,68597.20000000,0.00543589,2026-08-19,2026-08-19T21:19:43.484397+00:00,1,none
kraken:105347868,CLEARING-KRA-105347868,kraken,XBTUSD,sell,68597.20000000,0.00787652,2026-08-19,2026-08-19T17:47:37.947788+00:00,1,none
kraken:105347869,CLEARING-KRA-105347869,kraken,XBTUSD,buy,68597.30000000,0.00011408,2026-08-19,2026-08-19T17:35:20.757059+00:00,1,none
kraken:105347870,CLEARING-KRA-105347870,kraken,XBTUSD,buy,68597.30000000,0.00061482,2026-08-19,2026-08-19T21:46:27.155257+00:00,1,none
kraken:105347871,CLEARING-KRA-105347871,kraken,XBTUSD,buy,68597.30000000,0.00100000,2026-08-19,2026-08-19T19:59:42.063233+00:00,1,none
kraken:105347872,CLEARING-KRA-105347872,kraken,XBTUSD,buy,68597.30000000,0.00010000,2026-08-19,2026-08-19T17:18:57.941422+00:00,1,none
kraken:105347873,CLEARING-KRA-105347873,kraken,XBTUSD,buy,68597.30000000,0.00571935,2026-08-19,2026-08-19T22:07:12.323764+00:00,1,none
kraken:105347874,CLEARING-KRA-105347874,kraken,XBTUSD,buy,68597.30000000,0.07800000,2026-08-19,2026-08-19T18:01:04.116206+00:00,1,none
kraken:105347875,CLEARING-KRA-105347875,kraken,XBTUSD,buy,68597.30000000,0.04725041,2026-08-19,2026-08-19T19:49:16.627946+00:00,1,none
kraken:105347876,CLEARING-KRA-105347876,kraken,XBTUSD,buy,68597.30000000,0.03283357,2026-08-19,2026-08-19T22:04:47.053436+00:00,1,quantity_mismatch
kraken:105347877,CLEARING-KRA-105347877,kraken,XBTUSD,buy,68597.30000000,0.14573727,2026-08-19,2026-08-19T17:23:33.018589+00:00,1,none
kraken:105347878,CLEARING-KRA-105347878,kraken,XBTUSD,sell,68597.20000000,0.00015229,2026-08-19,2026-08-19T21:54:34.725001+00:00,1,none
kraken:105347879,CLEARING-KRA-105347879,kraken,XBTUSD,buy,68597.30000000,0.00009688,2026-08-19,2026-08-19T19:36:16.583428+00:00,1,none
kraken:105347880,CLEARING-KRA-105347880,kraken,XBTUSD,buy,68597.30000000,0.00589889,2026-08-19,2026-08-19T22:00:24.872166+00:00,1,none
kraken:105347881,CLEARING-KRA-105347881,kraken,XBTUSD,buy,68597.30000000,0.00040818,2026-08-19,2026-08-19T20:51:25.038812+00:00,1,none
kraken:105347882,CLEARING-KRA-105347882,kraken,XBTUSD,sell,68597.20000000,0.00054600,2026-08-19,2026-08-19T20:37:28.762175+00:00,1,none
kraken:105347883,CLEARING-KRA-105347883,kraken,XBTUSD,sell,68597.20000000,0.02748930,2026-08-19,2026-08-19T20:23:54.650838+00:00,1,none
kraken:105347884,CLEARING-KRA-105347884,kraken,XBTUSD,sell,68597.20000000,0.00100000,2026-08-19,2026-08-19T21:39:07.607913+00:00,1,none
kraken:105347885,CLEARING-KRA-105347885,kraken,XBTUSD,sell,68597.20000000,0.00072890,2026-08-19,2026-08-19T18:04:03.780188+00:00,1,none
kraken:105347886,CLEARING-KRA-105347886,kraken,XBTUSD,sell,68597.20000000,0.01783593,2026-08-19,2026-08-19T19:56:26.363302+00:00,1,quantity_mismatch
kraken:105347888,CLEARING-KRA-105347888,kraken,XBTUSD,sell,68581.00000000,0.00145800,2026-08-19,2026-08-19T17:01:41.072618+00:00,1,none
kraken:105347889,CLEARING-KRA-105347889,kraken,XBTUSD,buy,68576.80000000,0.01145889,2026-08-19,2026-08-19T17:05:45.918068+00:00,1,quantity_mismatch
kraken:105347890,CLEARING-KRA-105347890,kraken,XBTUSD,buy,68576.80000000,0.07290000,2026-08-19,2026-08-19T20:23:08.702550+00:00,1,none
kraken:105347891,CLEARING-KRA-105347891,kraken,XBTUSD,buy,68576.80000000,0.72910955,2026-08-19,2026-08-19T17:26:02.717145+00:00,1,none
kraken:105347892,CLEARING-KRA-105347892,kraken,XBTUSD,buy,68576.80000000,0.00630052,2026-08-19,2026-08-19T19:50:49.595788+00:00,1,none
kraken:105347893,CLEARING-KRA-105347893,kraken,XBTUSD,buy,68576.80000000,0.00072911,2026-08-19,2026-08-19T21:01:18.407141+00:00,1,none
kraken:105347894,CLEARING-KRA-105347894,kraken,XBTUSD,buy,68576.80000000,0.00100000,2026-08-19,2026-08-19T17:45:13.058844+00:00,1,none
kraken:105347895,CLEARING-KRA-105347895,kraken,XBTUSD,buy,68576.80000000,0.00029700,2026-08-21,2026-08-21T12:32:17.328598+00:00,1,timing_breach
kraken:105347896,CLEARING-KRA-105347896,kraken,XBTUSD,buy,68576.80000000,0.00016300,2026-08-19,2026-08-19T20:42:58.644359+00:00,1,none
kraken:105347897,CLEARING-KRA-105347897,kraken,XBTUSD,buy,68576.80000000,0.00100000,2026-08-19,2026-08-19T22:07:09.413725+00:00,1,none
kraken:105347898,CLEARING-KRA-105347898,kraken,XBTUSD,buy,68576.80000000,0.00010000,2026-08-21,2026-08-21T08:29:34.432752+00:00,1,timing_breach
kraken:105347899,CLEARING-KRA-105347899,kraken,XBTUSD,buy,68576.80000000,0.07800000,2026-08-19,2026-08-19T18:04:26.337952+00:00,1,none
kraken:105347900,CLEARING-KRA-105347900,kraken,XBTUSD,buy,68576.80000000,0.04989237,2026-08-19,2026-08-19T19:10:25.490787+00:00,1,none
kraken:105347901,CLEARING-KRA-105347901,kraken,XBTUSD,buy,68576.80000000,0.21581086,2026-08-19,2026-08-19T18:14:18.136404+00:00,1,none
kraken:105347902,CLEARING-KRA-105347902,kraken,XBTUSD,sell,68576.70000000,0.00018200,2026-08-19,2026-08-19T21:47:05.449133+00:00,1,none
kraken:105347903,CLEARING-KRA-105347903,kraken,XBTUSD,sell,68576.70000000,0.00181800,2026-08-19,2026-08-19T21:26:42.702828+00:00,1,none
kraken:105347904,CLEARING-KRA-105347904,kraken,XBTUSD,sell,68576.70000000,0.00072911,2026-08-19,2026-08-19T16:59:09.639479+00:00,1,none
kraken:105347905,CLEARING-KRA-105347905,kraken,XBTUSD,sell,68576.70000000,0.00100000,2026-08-19,2026-08-19T21:18:21.336739+00:00,1,none
kraken:105347906,CLEARING-KRA-105347906,kraken,XBTUSD,sell,68575.50000000,0.00005100,2026-08-19,2026-08-19T21:48:10.056818+00:00,1,none
kraken:105347907,CLEARING-KRA-105347907,kraken,XBTUSD,sell,68572.80000000,0.01076266,2026-08-19,2026-08-19T17:37:20.950544+00:00,1,none
kraken:105347908,CLEARING-KRA-105347908,kraken,XBTUSD,buy,68572.90000000,0.00030619,2026-08-19,2026-08-19T17:53:00.825770+00:00,1,none
kraken:105347909,CLEARING-KRA-105347909,kraken,XBTUSD,sell,68572.80000000,0.00072916,2026-08-19,2026-08-19T17:01:50.391488+00:00,1,none
kraken:105347910,CLEARING-KRA-105347910,kraken,XBTUSD,sell,68572.10000000,0.07800000,2026-08-19,2026-08-19T22:07:38.587658+00:00,1,none
kraken:105347911,CLEARING-KRA-105347911,kraken,XBTUSD,buy,68565.50000000,0.00437467,2026-08-19,2026-08-19T21:01:14.720549+00:00,1,none
kraken:105347912,CLEARING-KRA-105347912,kraken,XBTUSD,sell,68565.40000000,0.00145800,2026-08-19,2026-08-19T19:02:13.077668+00:00,1,none
kraken:105347913,CLEARING-KRA-105347913,kraken,XBTUSD,sell,68565.40000000,0.00072900,2026-08-19,2026-08-19T22:11:06.898697+00:00,1,none
kraken:105347914,CLEARING-KRA-105347914,kraken,XBTUSD,sell,68565.40000000,0.00000023,2026-08-19,2026-08-19T20:39:43.806340+00:00,1,none
kraken:105347915,CLEARING-KRA-105347915,kraken,XBTUSD,sell,68565.40000000,0.05980000,2026-08-19,2026-08-19T18:20:34.137434+00:00,1,none
kraken:105347916,CLEARING-KRA-105347916,kraken,XBTUSD,sell,68565.20000000,0.00005100,2026-08-19,2026-08-19T19:53:47.092247+00:00,1,none
kraken:105347917,CLEARING-KRA-105347917,kraken,XBTUSD,buy,68552.10000000,0.06113804,2026-08-19,2026-08-19T20:49:29.256632+00:00,1,none
kraken:105347918,CLEARING-KRA-105347918,kraken,XBTUSD,buy,68550.10000000,0.01130479,2026-08-19,2026-08-19T17:01:25.647699+00:00,1,quantity_mismatch
kraken:105347919,CLEARING-KRA-105347919,kraken,XBTUSD,buy,68550.10000000,0.38259565,2026-08-19,2026-08-19T21:23:36.014418+00:00,1,none
kraken:105347920,CLEARING-KRA-105347920,kraken,XBTUSD,buy,68553.90000000,0.25128868,2026-08-19,2026-08-19T18:55:54.187936+00:00,1,quantity_mismatch
kraken:105347921,CLEARING-KRA-105347921,kraken,XBTUSD,buy,68553.90000000,0.11868050,2026-08-19,2026-08-19T19:50:39.005307+00:00,1,none
kraken:105347922,CLEARING-KRA-105347922,kraken,XBTUSD,buy,68550.10000000,0.01144325,2026-08-19,2026-08-19T16:55:46.322449+00:00,1,none
kraken:105347923,CLEARING-KRA-105347923,kraken,XBTUSD,buy,68550.10000000,0.38259565,2026-08-21,2026-08-21T19:20:30.649976+00:00,1,timing_breach
kraken:105347924,CLEARING-KRA-105347924,kraken,XBTUSD,buy,68550.10000000,0.28084360,2026-08-19,2026-08-19T18:08:42.598309+00:00,1,none
kraken:105347925,CLEARING-KRA-105347925,kraken,XBTUSD,buy,68550.10000000,0.16830797,2026-08-19,2026-08-19T18:26:20.279413+00:00,1,none
kraken:105347926,CLEARING-KRA-105347926,kraken,XBTUSD,buy,68550.10000000,0.01144325,2026-08-19,2026-08-19T17:25:50.929590+00:00,1,none
kraken:105347927,CLEARING-KRA-105347927,kraken,XBTUSD,buy,68550.10000000,0.04989237,2026-08-19,2026-08-19T19:13:32.586141+00:00,1,none
kraken:105347928,CLEARING-KRA-105347928,kraken,XBTUSD,buy,68550.10000000,0.30820992,2026-08-19,2026-08-19T21:51:27.078495+00:00,1,none
kraken:105347930,CLEARING-KRA-105347930,kraken,XBTUSD,sell,68550.00000000,0.00145878,2026-08-19,2026-08-19T19:48:27.186566+00:00,1,none
kraken:105347931,CLEARING-KRA-105347931,kraken,XBTUSD,sell,68550.00000000,0.00072940,2026-08-21,2026-08-21T16:29:36.787514+00:00,1,timing_breach
kraken:105347932,CLEARING-KRA-105347932,kraken,XBTUSD,sell,68549.80000000,0.00145800,2026-08-19,2026-08-19T18:37:50.287314+00:00,1,none
kraken:105347933,CLEARING-KRA-105347933,kraken,XBTUSD,sell,68548.10000000,0.00005129,2026-08-19,2026-08-19T17:34:43.299663+00:00,1,quantity_mismatch
kraken:105347934,CLEARING-KRA-105347934,kraken,XBTUSD,sell,68547.10000000,0.00000209,2026-08-19,2026-08-19T20:34:50.002899+00:00,1,none
kraken:105347935,CLEARING-KRA-105347935,kraken,XBTUSD,sell,68547.10000000,0.46206491,2026-08-19,2026-08-19T22:08:27.436237+00:00,1,none
kraken:105347936,CLEARING-KRA-105347936,kraken,XBTUSD,sell,68547.10000000,0.04750000,2026-08-19,2026-08-19T16:45:15.119099+00:00,1,none
kraken:105347937,CLEARING-KRA-105347937,kraken,XBTUSD,sell,68547.10000000,0.00072943,2026-08-19,2026-08-19T18:21:27.920871+00:00,1,none
kraken:105347938,CLEARING-KRA-105347938,kraken,XBTUSD,sell,68547.10000000,0.00072943,2026-08-19,2026-08-19T21:52:31.035655+00:00,1,none
kraken:105347939,CLEARING-KRA-105347939,kraken,XBTUSD,sell,68547.00000000,0.08441250,2026-08-19,2026-08-19T17:20:45.709251+00:00,1,none
kraken:105347940,CLEARING-KRA-105347940,kraken,XBTUSD,buy,68547.10000000,0.00100000,2026-08-21,2026-08-21T05:17:03.968638+00:00,1,timing_breach
kraken:105347941,CLEARING-KRA-105347941,kraken,XBTUSD,buy,68547.10000000,0.00072943,2026-08-19,2026-08-19T20:39:30.918855+00:00,1,none
kraken:105347942,CLEARING-KRA-105347942,kraken,XBTUSD,buy,68547.10000000,0.00010000,2026-08-19,2026-08-19T20:12:00.109136+00:00,1,none
kraken:105347943,CLEARING-KRA-105347943,kraken,XBTUSD,buy,68547.10000000,0.00100000,2026-08-19,2026-08-19T19:23:55.128223+00:00,1,none
kraken:105347944,CLEARING-KRA-105347944,kraken,XBTUSD,buy,68547.10000000,0.03288908,2026-08-19,2026-08-19T21:21:55.051073+00:00,1,none
kraken:105347945,CLEARING-KRA-105347945,kraken,XBTUSD,sell,68549.30000000,0.01460000,2026-08-21,2026-08-21T05:29:33.160731+00:00,1,timing_breach
kraken:105347947,CLEARING-KRA-105347947,kraken,XBTUSD,sell,68549.30000000,0.00022487,2026-08-19,2026-08-19T20:12:59.079876+00:00,1,none
kraken:105347948,CLEARING-KRA-105347948,kraken,XBTUSD,buy,68549.40000000,0.00071493,2026-08-19,2026-08-19T20:47:22.985213+00:00,1,none
kraken:105347949,CLEARING-KRA-105347949,kraken,XBTUSD,buy,68549.40000000,0.00001448,2026-08-19,2026-08-19T19:03:57.874853+00:00,1,none
kraken:105347951,CLEARING-KRA-105347951,kraken,XBTUSD,buy,68549.40000000,0.00098222,2026-08-19,2026-08-19T19:42:52.361583+00:00,1,quantity_mismatch
kraken:105347952,CLEARING-KRA-105347952,kraken,XBTUSD,buy,68549.40000000,0.01504091,2026-08-19,2026-08-19T19:55:03.363273+00:00,1,none
kraken:105347953,CLEARING-KRA-105347953,kraken,XBTUSD,sell,68551.40000000,0.00580000,2026-08-19,2026-08-19T17:24:53.764812+00:00,1,none
kraken:105347954,CLEARING-KRA-105347954,kraken,XBTUSD,sell,68551.40000000,0.00148942,2026-08-19,2026-08-19T21:39:30.177007+00:00,1,none
kraken:105347955,CLEARING-KRA-105347955,kraken,XBTUSD,sell,68551.40000000,0.00015200,2026-08-19,2026-08-19T21:26:53.972096+00:00,1,none
kraken:105347956,CLEARING-KRA-105347956,kraken,XBTUSD,sell,68551.40000000,0.00072938,2026-08-19,2026-08-19T17:52:12.476518+00:00,1,none
kraken:105347957,CLEARING-KRA-105347957,kraken,XBTUSD,sell,68551.40000000,0.00100000,2026-08-19,2026-08-19T17:16:48.274768+00:00,1,none
kraken:105347958,CLEARING-KRA-105347958,kraken,XBTUSD,sell,68551.40000000,0.04340000,2026-08-19,2026-08-19T21:34:38.828148+00:00,1,none
kraken:105347959,CLEARING-KRA-105347959,kraken,XBTUSD,sell,68540.70000000,0.00047100,2026-08-19,2026-08-19T20:07:42.670405+00:00,1,none
kraken:105347960,CLEARING-KRA-105347960,kraken,XBTUSD,sell,68540.70000000,0.00072950,2026-08-19,2026-08-19T21:49:45.216615+00:00,1,none
kraken:105347961,CLEARING-KRA-105347961,kraken,XBTUSD,sell,68540.00000000,0.00072950,2026-08-19,2026-08-19T22:05:02.459730+00:00,1,none
kraken:105347962,CLEARING-KRA-105347962,kraken,XBTUSD,sell,68537.80000000,0.00005100,2026-08-19,2026-08-19T21:33:45.621130+00:00,1,none
kraken:105347963,CLEARING-KRA-105347963,kraken,XBTUSD,sell,69562.05447853,0.00868766,2026-08-19,2026-08-19T21:01:04.832902+00:00,1,price_mismatch
kraken:105347964,CLEARING-KRA-105347964,kraken,XBTUSD,sell,68534.30000000,0.00005100,2026-08-19,2026-08-19T20:23:57.741438+00:00,1,none
kraken:105347965,CLEARING-KRA-105347965,kraken,XBTUSD,sell,68534.20000000,0.00145900,2026-08-19,2026-08-19T18:04:47.291652+00:00,1,none
kraken:105347966,CLEARING-KRA-105347966,kraken,XBTUSD,sell,68526.40000000,0.00014592,2026-08-19,2026-08-19T20:34:19.179709+00:00,1,none
kraken:105347967,CLEARING-KRA-105347967,kraken,XBTUSD,sell,68526.40000000,0.00000808,2026-08-19,2026-08-19T16:55:40.618816+00:00,1,none
kraken:105347968,CLEARING-KRA-105347968,kraken,XBTUSD,buy,68526.50000000,0.00460092,2026-08-19,2026-08-19T17:48:46.007810+00:00,1,none
kraken:105347969,CLEARING-KRA-105347969,kraken,XBTUSD,sell,68526.40000000,0.00044426,2026-08-19,2026-08-19T18:38:18.142500+00:00,1,none
kraken:105347970,CLEARING-KRA-105347970,kraken,XBTUSD,sell,68526.40000000,0.00027731,2026-08-19,2026-08-19T21:30:27.282412+00:00,1,none
kraken:105347971,CLEARING-KRA-105347971,kraken,XBTUSD,sell,68526.40000000,0.00260181,2026-08-19,2026-08-19T20:20:43.743320+00:00,1,none
kraken:105347972,CLEARING-KRA-105347972,kraken,XBTUSD,sell,68526.40000000,0.01239819,2026-08-19,2026-08-19T18:14:51.455609+00:00,1,none
kraken:105347973,CLEARING-KRA-105347973,kraken,XBTUSD,sell,68526.40000000,0.02214211,2026-08-19,2026-08-19T20:14:36.453425+00:00,1,quantity_mismatch
kraken:105347974,CLEARING-KRA-105347974,kraken,XBTUSD,sell,68526.40000000,0.40000000,2026-08-19,2026-08-19T22:06:41.878808+00:00,1,none
kraken:105347975,CLEARING-KRA-105347975,kraken,XBTUSD,sell,68525.10000000,0.00094563,2026-08-19,2026-08-19T21:52:52.010379+00:00,1,none
kraken:105347976,CLEARING-KRA-105347976,kraken,XBTUSD,buy,68524.00000000,0.00005100,2026-08-19,2026-08-19T22:03:09.047099+00:00,1,side_mismatch
kraken:105347977,CLEARING-KRA-105347977,kraken,XBTUSD,sell,68522.00000000,0.13062295,2026-08-19,2026-08-19T22:00:33.294453+00:00,1,none
kraken:105347978,CLEARING-KRA-105347978,kraken,XBTUSD,sell,68521.20000000,0.00410023,2026-08-19,2026-08-19T17:18:41.485436+00:00,1,none
kraken:105347979,CLEARING-KRA-105347979,kraken,XBTUSD,sell,68520.60000000,0.00005100,2026-08-19,2026-08-19T20:43:20.307202+00:00,1,none
kraken:105347980,CLEARING-KRA-105347980,kraken,XBTUSD,sell,68518.60000000,0.00145900,2026-08-19,2026-08-19T20:02:58.050296+00:00,1,none
kraken:105347981,CLEARING-KRA-105347981,kraken,XBTUSD,sell,68517.20000000,0.00005100,2026-08-19,2026-08-19T18:50:01.984581+00:00,1,none
kraken:105347982,CLEARING-KRA-105347982,kraken,XBTUSD,sell,68516.70000000,0.42852100,2026-08-19,2026-08-19T18:06:58.620623+00:00,1,none
kraken:105347983,CLEARING-KRA-105347983,kraken,XBTUSD,buy,68526.10000000,0.01144591,2026-08-19,2026-08-19T16:43:30.265048+00:00,1,none
kraken:105347984,CLEARING-KRA-105347984,kraken,XBTUSD,buy,68526.10000000,0.05552287,2026-08-19,2026-08-19T19:40:38.127281+00:00,1,none
kraken:105347985,CLEARING-KRA-105347985,kraken,XBTUSD,sell,68526.00000000,0.00036586,2026-08-19,2026-08-19T20:47:48.959492+00:00,1,none
kraken:105347986,CLEARING-KRA-105347986,kraken,XBTUSD,buy,68526.10000000,0.00068803,2026-08-19,2026-08-19T18:43:10.065433+00:00,1,none
kraken:105347987,CLEARING-KRA-105347987,kraken,XBTUSD,sell,68526.00000000,0.00036875,2026-08-19,2026-08-19T20:08:37.232489+00:00,1,quantity_mismatch
kraken:105347988,CLEARING-KRA-105347988,kraken,XBTUSD,sell,68526.00000000,0.12465845,2026-08-19,2026-08-19T17:24:06.336622+00:00,1,none
kraken:105347989,CLEARING-KRA-105347989,kraken,XBTUSD,buy,68526.10000000,0.00004162,2026-08-19,2026-08-19T19:30:21.331245+00:00,1,none
