break_reference,venue,symbol,stage,break_category_code,has_timing_issue,origin_date,status,resolved_date,age_days_or_final,escalation_tier,financial_impact_usd
binance:6582451994|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,0.00164435
binance:6582451997|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451999|clearing,binance,BTCUSDT,clearing,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582452088|clearing,binance,BTCUSDT,clearing,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452097|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452108|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452110|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452132|clearing,binance,BTCUSDT,clearing,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582452142|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452164|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582452196|confirm,binance,BTCUSDT,confirm,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452199|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452202|clearing,binance,BTCUSDT,clearing,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582452206|clearing,binance,BTCUSDT,clearing,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582452207|clearing,binance,BTCUSDT,clearing,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582452238|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582452292|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582452322|clearing,binance,BTCUSDT,clearing,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582452376|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582452394|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582452482|clearing,binance,BTCUSDT,clearing,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582452486|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452525|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582452635|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452651|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452661|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582452663|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582452688|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582452706|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452710|confirm,binance,BTCUSDT,confirm,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582452712|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582452728|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452729|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452752|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582452763|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582452768|confirm,binance,BTCUSDT,confirm,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582452770|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582452809|clearing,binance,BTCUSDT,clearing,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452820|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452823|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,0.00284357
binance:6582452866|confirm,binance,BTCUSDT,confirm,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582452868|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452896|confirm,binance,BTCUSDT,confirm,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452931|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582452932|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582452947|clearing,binance,BTCUSDT,clearing,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582452979|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453002|confirm,binance,BTCUSDT,confirm,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582453037|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582453042|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582453088|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582453095|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582453115|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453157|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582453173|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582453222|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453224|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582453226|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582453226|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582453229|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582453265|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453272|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582453273|confirm,binance,BTCUSDT,confirm,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582453321|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453369|clearing,binance,BTCUSDT,clearing,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453391|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,0.00109903
binance:6582453403|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453462|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453507|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453515|clearing,binance,BTCUSDT,clearing,TIMING,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582453515|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453565|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582453569|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582453597|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453606|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582453624|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453652|confirm,binance,BTCUSDT,confirm,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453663|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453685|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453694|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582453717|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453737|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453839|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453869|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453886|confirm,binance,BTCUSDT,confirm,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582453897|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453906|clearing,binance,BTCUSDT,clearing,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582453912|clearing,binance,BTCUSDT,clearing,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582453948|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582454005|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582454021|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582454063|clearing,binance,BTCUSDT,clearing,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582454075|clearing,binance,BTCUSDT,clearing,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582454079|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,-0.00342302
binance:6582454104|confirm,binance,BTCUSDT,confirm,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582454130|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582454133|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582454143|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582454164|confirm,binance,BTCUSDT,confirm,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582454170|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582454193|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582454201|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582454204|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582454224|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
