trade_id_ref,expected_settle_date,actual_settle_date,settlement_status,settlement_amount,currency
kraken:105347872,2026-08-20,2026-08-19,settled,6.86,USD
kraken:105347873,2026-08-20,2026-08-19,settled,392.33,USD
kraken:105347874,2026-08-20,2026-08-19,settled,5350.59,USD
kraken:105347875,2026-08-20,2026-08-19,settled,3241.25,USD
kraken:105347876,2026-08-20,2026-08-19,settled,2286.38,USD
kraken:105347877,2026-08-24,2026-08-22,settled,9997.18,USD
kraken:105347878,2026-08-20,2026-08-19,settled,10.45,USD
kraken:105347879,2026-08-20,2026-08-19,settled,6.65,USD
kraken:105347880,2026-08-20,2026-08-19,settled,404.65,USD
kraken:105347881,2026-08-20,2026-08-19,settled,28.00,USD
kraken:105347882,2026-08-20,2026-08-19,settled,37.45,USD
kraken:105347883,2026-08-20,2026-08-19,settled,1885.69,USD
kraken:105347884,2026-08-20,2026-08-19,settled,68.60,USD
kraken:105347885,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105347886,2026-08-20,2026-08-19,settled,1225.21,USD
kraken:105347888,2026-08-20,2026-08-19,settled,99.99,USD
kraken:105347889,2026-08-20,2026-08-19,settled,784.56,USD
kraken:105347890,2026-08-20,2026-08-19,settled,4999.25,USD
kraken:105347891,2026-08-20,2026-08-19,settled,50000.00,USD
kraken:105347892,2026-08-24,2026-08-21,settled,432.07,USD
kraken:105347893,2026-08-24,2026-08-21,settled,50.00,USD
kraken:105347894,2026-08-20,2026-08-19,settled,68.58,USD
kraken:105347895,2026-08-20,2026-08-21,settled,20.37,USD
kraken:105347896,2026-08-20,2026-08-19,settled,11.18,USD
kraken:105347897,2026-08-20,2026-08-19,settled,68.58,USD
kraken:105347898,2026-08-20,2026-08-21,settled,6.86,USD
kraken:105347899,2026-08-20,2026-08-19,settled,5348.99,USD
kraken:105347900,2026-08-20,2026-08-19,settled,3421.46,USD
kraken:105347901,2026-08-20,2026-08-19,settled,14799.62,USD
kraken:105347902,2026-08-20,2026-08-19,settled,12.48,USD
kraken:105347903,2026-08-20,2026-08-19,settled,124.67,USD
kraken:105347904,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105347905,2026-08-20,2026-08-19,settled,68.58,USD
kraken:105347906,2026-08-20,2026-08-19,settled,3.50,USD
kraken:105347907,2026-08-20,2026-08-19,settled,738.03,USD
kraken:105347908,2026-08-20,2026-08-19,settled,21.00,USD
kraken:105347909,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105347910,2026-08-20,2026-08-19,settled,5348.62,USD
kraken:105347911,2026-08-20,2026-08-19,settled,299.95,USD
kraken:105347912,2026-08-20,2026-08-19,settled,99.97,USD
kraken:105347913,2026-08-20,2026-08-19,settled,49.98,USD
kraken:105347914,2026-08-20,2026-08-19,settled,0.02,USD
kraken:105347915,2026-08-24,2026-08-21,settled,4100.21,USD
kraken:105347916,2026-08-20,2026-08-19,settled,3.50,USD
kraken:105347917,2026-08-20,2026-08-19,settled,4191.14,USD
kraken:105347918,2026-08-24,2026-08-22,settled,784.44,USD
kraken:105347919,2026-08-20,2026-08-19,settled,26226.97,USD
kraken:105347920,2026-08-20,2026-08-19,settled,17266.38,USD
kraken:105347921,2026-08-20,2026-08-19,settled,8136.01,USD
kraken:105347922,2026-08-20,2026-08-19,settled,784.44,USD
kraken:105347923,2026-08-20,2026-08-21,settled,26226.97,USD
kraken:105347924,2026-08-20,2026-08-19,settled,19251.86,USD
kraken:105347925,2026-08-20,2026-08-19,settled,11537.53,USD
kraken:105347926,2026-08-20,2026-08-19,settled,784.44,USD
kraken:105347927,2026-08-20,2026-08-19,settled,3420.13,USD
kraken:105347928,2026-08-20,2026-08-19,settled,21127.82,USD
kraken:105347930,2026-08-20,2026-08-19,settled,100.00,USD
kraken:105347931,2026-08-20,2026-08-21,settled,50.00,USD
kraken:105347932,2026-08-24,2026-08-22,settled,99.95,USD
kraken:105347933,2026-08-20,2026-08-19,settled,3.50,USD
kraken:105347935,2026-08-20,2026-08-19,settled,31673.21,USD
kraken:105347936,2026-08-20,2026-08-19,settled,3255.99,USD
kraken:105347937,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105347938,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105347939,2026-08-20,2026-08-19,settled,5786.22,USD
kraken:105347940,2026-08-20,2026-08-21,settled,68.55,USD
kraken:105347941,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105347942,2026-08-20,2026-08-19,settled,6.85,USD
kraken:105347943,2026-08-20,2026-08-19,settled,68.55,USD
kraken:105347944,2026-08-20,2026-08-19,settled,2254.45,USD
kraken:105347945,2026-08-20,2026-08-21,settled,1000.82,USD
kraken:105347947,2026-08-20,2026-08-19,settled,15.41,USD
kraken:105347948,2026-08-20,2026-08-19,settled,49.01,USD
kraken:105347949,2026-08-20,2026-08-19,settled,0.99,USD
kraken:105347951,2026-08-20,2026-08-19,settled,68.55,USD
kraken:105347952,2026-08-20,2026-08-19,settled,1031.05,USD
kraken:105347953,2026-08-20,2026-08-19,settled,397.60,USD
kraken:105347954,2026-08-20,2026-08-19,settled,102.10,USD
kraken:105347955,2026-08-20,2026-08-19,settled,10.42,USD
kraken:105347956,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105347957,2026-08-20,2026-08-19,settled,68.55,USD
kraken:105347958,2026-08-20,2026-08-19,settled,2975.13,USD
kraken:105347959,2026-08-20,2026-08-19,settled,32.28,USD
kraken:105347960,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105347961,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105347962,2026-08-20,2026-08-19,settled,3.50,USD
kraken:105347963,2026-08-20,2026-08-19,settled,595.40,USD
kraken:105347964,2026-08-20,2026-08-19,settled,3.50,USD
kraken:105347965,2026-08-20,2026-08-19,settled,99.99,USD
kraken:105347966,2026-08-20,2026-08-19,settled,10.00,USD
kraken:105347967,2026-08-20,2026-08-19,settled,0.55,USD
kraken:105347968,2026-08-20,2026-08-19,settled,315.28,USD
kraken:105347969,2026-08-20,2026-08-19,settled,30.44,USD
kraken:105347970,2026-08-20,2026-08-19,settled,19.00,USD
kraken:105347971,2026-08-20,2026-08-19,settled,178.29,USD
kraken:105347972,2026-08-20,2026-08-19,settled,849.60,USD
kraken:105347973,2026-08-20,2026-08-19,settled,1493.88,USD
kraken:105347974,2026-08-20,2026-08-19,settled,27410.56,USD
kraken:105347975,2026-08-20,2026-08-19,settled,64.80,USD
kraken:105347976,2026-08-20,2026-08-19,settled,3.49,USD
kraken:105347977,2026-08-20,2026-08-19,settled,8950.55,USD
kraken:105347978,2026-08-20,2026-08-19,settled,280.95,USD
kraken:105347979,2026-08-20,2026-08-19,settled,3.49,USD
kraken:105347980,2026-08-20,2026-08-19,settled,99.97,USD
kraken:105347981,2026-08-20,2026-08-19,settled,3.49,USD
kraken:105347982,2026-08-20,2026-08-19,settled,29360.84,USD
kraken:105347983,2026-08-20,2026-08-19,settled,784.34,USD
kraken:105347984,2026-08-20,2026-08-19,settled,3804.77,USD
kraken:105347985,2026-08-20,2026-08-19,settled,25.07,USD
kraken:105347986,2026-08-20,2026-08-19,settled,47.15,USD
kraken:105347987,2026-08-20,2026-08-19,settled,24.93,USD
kraken:105347988,2026-08-20,2026-08-19,settled,8542.34,USD
kraken:105347989,2026-08-20,2026-08-19,settled,2.85,USD
kraken:105347990,2026-08-20,2026-08-19,settled,21.83,USD
kraken:105347991,2026-08-20,2026-08-19,settled,46.70,USD
kraken:105347992,2026-08-20,2026-08-19,settled,6.85,USD
kraken:105347993,2026-08-20,2026-08-19,settled,68.53,USD
kraken:105347994,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105347995,2026-08-20,2026-08-19,settled,3.49,USD
kraken:105347996,2026-08-20,2026-08-19,settled,3.50,USD
kraken:105347997,2026-08-20,2026-08-19,settled,318.31,USD
kraken:105347998,2026-08-20,2026-08-19,settled,5262.95,USD
kraken:105347999,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105348000,2026-08-20,2026-08-19,settled,2662.14,USD
kraken:105348001,2026-08-20,2026-08-19,settled,5345.51,USD
kraken:105348002,2026-08-20,2026-08-19,settled,392.18,USD
kraken:105348003,2026-08-20,2026-08-19,settled,19236.92,USD
kraken:105348004,2026-08-20,2026-08-19,settled,50000.00,USD
kraken:105348005,2026-08-20,2026-08-19,settled,499.95,USD
kraken:105348006,2026-08-20,2026-08-19,settled,3421.89,USD
kraken:105348007,2026-08-20,2026-08-19,settled,99.99,USD
kraken:105348008,2026-08-20,2026-08-19,settled,14033.03,USD
kraken:105348009,2026-08-20,2026-08-19,settled,1905.19,USD
kraken:105348010,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105348011,2026-08-20,2026-08-19,settled,68.53,USD
kraken:105348012,2026-08-20,2026-08-19,settled,3.50,USD
kraken:105348013,2026-08-20,2026-08-19,settled,3.49,USD
kraken:105348014,2026-08-20,2026-08-19,settled,25.00,USD
kraken:105348015,2026-08-20,2026-08-19,settled,3.49,USD
kraken:105348016,2026-08-20,2026-08-19,settled,7233.71,USD
kraken:105348017,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105348018,2026-08-20,2026-08-19,settled,1130.53,USD
kraken:105348019,2026-08-20,2026-08-19,settled,15.96,USD
kraken:105348020,2026-08-20,2026-08-19,settled,4761.99,USD
kraken:105348021,2026-08-20,2026-08-19,settled,6.81,USD
kraken:105348022,2026-08-20,2026-08-19,settled,171.35,USD
kraken:105348023,2026-08-20,2026-08-19,settled,479.62,USD
kraken:105348024,2026-08-20,2026-08-19,settled,5.36,USD
kraken:105348025,2026-08-24,2026-08-21,settled,4.00,USD
kraken:105348026,2026-08-20,2026-08-19,settled,1384.15,USD
kraken:105348027,2026-08-20,2026-08-19,settled,19.80,USD
kraken:105348028,2026-08-20,2026-08-19,settled,30.20,USD
kraken:105348029,2026-08-24,2026-08-21,settled,68.52,USD
kraken:105348030,2026-08-20,2026-08-19,settled,68.52,USD
kraken:105348031,2026-08-20,2026-08-21,settled,6.85,USD
kraken:105348032,2026-08-20,2026-08-19,settled,3395.80,USD
kraken:105348033,2026-08-20,2026-08-19,settled,4997.83,USD
kraken:105348034,2026-08-20,2026-08-19,settled,3421.14,USD
kraken:105348035,2026-08-20,2026-08-19,settled,784.31,USD
kraken:105348036,2026-08-20,2026-08-19,settled,37532.94,USD
kraken:105348038,2026-08-20,2026-08-19,settled,474.10,USD
kraken:105348039,2026-08-20,2026-08-19,settled,3.43,USD
kraken:105348040,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105348041,2026-08-20,2026-08-19,settled,68.52,USD
kraken:105348042,2026-08-20,2026-08-19,settled,3.49,USD
kraken:105348043,2026-08-20,2026-08-19,settled,3.49,USD
kraken:105348044,2026-08-20,2026-08-19,settled,216.91,USD
kraken:105348045,2026-08-20,2026-08-19,settled,830.64,USD
kraken:105348046,2026-08-20,2026-08-19,settled,17.13,USD
kraken:105348047,2026-08-20,2026-08-19,settled,192.93,USD
kraken:105348048,2026-08-20,2026-08-19,settled,2500.00,USD
kraken:105348049,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105348051,2026-08-20,2026-08-22,settled,50.00,USD
kraken:105348052,2026-08-20,2026-08-19,settled,2904.84,USD
kraken:105348053,2026-08-20,2026-08-19,settled,561.78,USD
kraken:105348054,2026-08-20,2026-08-19,settled,1500.00,USD
kraken:105348055,2026-08-20,2026-08-19,settled,3957.98,USD
kraken:105348056,2026-08-20,2026-08-19,settled,18863.73,USD
kraken:105348057,2026-08-20,2026-08-19,settled,3421.62,USD
kraken:105348058,2026-08-20,2026-08-19,settled,37250.35,USD
kraken:105348059,2026-08-20,2026-08-19,settled,29.45,USD
kraken:105348060,2026-08-20,2026-08-19,settled,6.85,USD
kraken:105348061,2026-08-20,2026-08-19,settled,65.95,USD
kraken:105348062,2026-08-20,2026-08-19,settled,2.56,USD
kraken:105348063,2026-08-20,2026-08-19,settled,20.00,USD
kraken:105348064,2026-08-20,2026-08-19,settled,2903.47,USD
kraken:105348065,2026-08-20,2026-08-19,settled,2440.34,USD
kraken:105348066,2026-08-20,2026-08-19,settled,46.32,USD
kraken:105348067,2026-08-20,2026-08-19,settled,3.68,USD
kraken:105348068,2026-08-20,2026-08-19,settled,6.85,USD
kraken:105348069,2026-08-20,2026-08-19,settled,3.49,USD
kraken:105348070,2026-08-20,2026-08-19,settled,53.53,USD
kraken:105348071,2026-08-20,2026-08-19,settled,3.49,USD
kraken:105348072,2026-08-20,2026-08-22,settled,124452.29,USD
kraken:105348073,2026-08-20,2026-08-19,settled,30485.37,USD
kraken:105348074,2026-08-20,2026-08-19,settled,44384.70,USD
kraken:105348075,2026-08-20,2026-08-19,settled,63078.71,USD
kraken:105348076,2026-08-20,2026-08-19,settled,45775.23,USD
kraken:105348078,2026-08-20,2026-08-19,settled,546.34,USD
kraken:105348079,2026-08-20,2026-08-19,settled,10.41,USD
kraken:105348080,2026-08-20,2026-08-19,settled,23.00,USD
kraken:105348081,2026-08-20,2026-08-19,settled,998.75,USD
kraken:105348082,2026-08-20,2026-08-19,settled,35981.05,USD
kraken:105348083,2026-08-20,2026-08-19,settled,31355.57,USD
kraken:105348084,2026-08-20,2026-08-19,settled,51788.11,USD
kraken:105348085,2026-08-20,2026-08-19,settled,129329.90,USD
kraken:105348086,2026-08-20,2026-08-19,settled,51911.81,USD
kraken:105348087,2026-08-20,2026-08-21,settled,112371.28,USD
kraken:105348088,2026-08-20,2026-08-19,settled,47607.07,USD
kraken:105348089,2026-08-20,2026-08-19,settled,54722.66,USD
kraken:105348090,2026-08-20,2026-08-19,settled,52715.76,USD
kraken:105348091,2026-08-20,2026-08-19,settled,43297.65,USD
kraken:105348092,2026-08-20,2026-08-19,settled,44253.24,USD
kraken:105348093,2026-08-20,2026-08-19,settled,30016.41,USD
kraken:105348095,2026-08-20,2026-08-19,settled,150162.37,USD
kraken:105348096,2026-08-24,2026-08-21,settled,4.48,USD
kraken:105348097,2026-08-24,2026-08-22,settled,2164.46,USD
kraken:105348098,2026-08-20,2026-08-19,settled,473491.88,USD
kraken:105348099,2026-08-20,2026-08-19,settled,81111.70,USD
kraken:105348100,2026-08-20,2026-08-19,settled,33201.48,USD
kraken:105348101,2026-08-20,2026-08-19,settled,17850.15,USD
kraken:105348102,2026-08-20,2026-08-19,settled,6031.31,USD
kraken:105348104,2026-08-20,2026-08-19,settled,12760.03,USD
kraken:105348105,2026-08-20,2026-08-19,settled,178.99,USD
kraken:105348106,2026-08-20,2026-08-19,settled,226.18,USD
kraken:105348107,2026-08-20,2026-08-19,settled,4020.15,USD
kraken:105348108,2026-08-20,2026-08-19,settled,89367.99,USD
kraken:105348109,2026-08-20,2026-08-19,settled,89933.37,USD
kraken:105348110,2026-08-20,2026-08-19,settled,231.18,USD
kraken:105348111,2026-08-20,2026-08-19,settled,20.50,USD
kraken:105348112,2026-08-20,2026-08-21,settled,25.67,USD
kraken:105348113,2026-08-20,2026-08-19,settled,2164.46,USD
kraken:105348114,2026-08-20,2026-08-19,settled,7815.86,USD
kraken:105348116,2026-08-20,2026-08-19,settled,4793.29,USD
kraken:105348117,2026-08-20,2026-08-19,settled,500.00,USD
kraken:105348118,2026-08-20,2026-08-19,settled,25204.57,USD
kraken:105348119,2026-08-20,2026-08-19,settled,48736.47,USD
kraken:105348120,2026-08-20,2026-08-19,settled,26196.99,USD
kraken:105348121,2026-08-20,2026-08-19,settled,100607.64,USD
kraken:105348122,2026-08-20,2026-08-19,settled,33305.26,USD
kraken:105348123,2026-08-20,2026-08-19,settled,41541.35,USD
kraken:105348124,2026-08-20,2026-08-19,settled,133001.06,USD
kraken:105348125,2026-08-20,2026-08-21,settled,149933.32,USD
kraken:105348126,2026-08-20,2026-08-19,settled,30352.67,USD
kraken:105348127,2026-08-20,2026-08-19,settled,2164.46,USD
kraken:105348128,2026-08-20,2026-08-19,settled,26869.29,USD
kraken:105348129,2026-08-20,2026-08-19,settled,30459.28,USD
kraken:105348130,2026-08-20,2026-08-19,settled,47645.89,USD
kraken:105348131,2026-08-20,2026-08-19,settled,53401.84,USD
kraken:105348132,2026-08-20,2026-08-19,settled,35816.85,USD
kraken:105348133,2026-08-20,2026-08-19,settled,0.09,USD
kraken:105348134,2026-08-20,2026-08-19,settled,29414.43,USD
kraken:105348136,2026-08-20,2026-08-19,settled,35336.61,USD
kraken:105348137,2026-08-20,2026-08-19,settled,26893.88,USD
kraken:105348138,2026-08-20,2026-08-19,settled,25803.18,USD
kraken:105348139,2026-08-20,2026-08-19,settled,473491.88,USD
kraken:105348140,2026-08-20,2026-08-19,settled,473491.88,USD
kraken:105348141,2026-08-20,2026-08-19,settled,41565.21,USD
kraken:105348142,2026-08-20,2026-08-19,settled,473491.88,USD
kraken:105348143,2026-08-20,2026-08-19,settled,2177.06,USD
kraken:105348144,2026-08-20,2026-08-19,settled,49198.70,USD
kraken:105348145,2026-08-20,2026-08-19,settled,117461.82,USD
kraken:105348146,2026-08-20,2026-08-19,settled,44132.09,USD
kraken:105348147,2026-08-20,2026-08-19,settled,90417.89,USD
kraken:105348148,2026-08-20,2026-08-19,settled,61436.82,USD
kraken:105348149,2026-08-20,2026-08-19,settled,179947.52,USD
kraken:105348150,2026-08-20,2026-08-19,settled,2164.46,USD
kraken:105348151,2026-08-20,2026-08-19,settled,75937.89,USD
kraken:105348152,2026-08-20,2026-08-19,settled,74796.46,USD
kraken:105348153,2026-08-20,2026-08-19,settled,149392.13,USD
kraken:105348154,2026-08-20,2026-08-19,settled,15299.02,USD
kraken:105348155,2026-08-20,2026-08-19,settled,3282.37,USD
kraken:105348156,2026-08-20,2026-08-19,settled,1715.13,USD
kraken:105348157,2026-08-20,2026-08-19,settled,32.45,USD
kraken:105348158,2026-08-20,2026-08-19,settled,5116.50,USD
kraken:105348159,2026-08-20,2026-08-19,settled,263.29,USD
kraken:105348160,2026-08-20,2026-08-19,settled,19.93,USD
kraken:105348161,2026-08-20,2026-08-19,settled,53.66,USD
kraken:105348162,2026-08-20,2026-08-21,settled,10.52,USD
kraken:105348163,2026-08-20,2026-08-19,settled,3843.64,USD
kraken:105348164,2026-08-20,2026-08-19,settled,29.89,USD
kraken:105348165,2026-08-20,2026-08-19,settled,132.46,USD
kraken:105348166,2026-08-20,2026-08-19,settled,372.49,USD
kraken:105348167,2026-08-20,2026-08-19,settled,7893.76,USD
kraken:105348168,2026-08-20,2026-08-19,settled,1738.48,USD
kraken:105348169,2026-08-20,2026-08-19,settled,3493.49,USD
kraken:105348170,2026-08-20,2026-08-19,settled,1625.08,USD
kraken:105348171,2026-08-20,2026-08-19,settled,3461.54,USD
kraken:105348172,2026-08-20,2026-08-19,settled,2441.58,USD
kraken:105348173,2026-08-20,2026-08-19,settled,39.90,USD
kraken:105348174,2026-08-20,2026-08-19,settled,610.49,USD
kraken:105348175,2026-08-20,2026-08-19,settled,936.08,USD
kraken:105348176,2026-08-20,2026-08-19,settled,907.35,USD
kraken:105348177,2026-08-20,2026-08-19,settled,1599.19,USD
kraken:105348178,2026-08-20,2026-08-22,settled,160.71,USD
kraken:105348179,2026-08-20,2026-08-19,settled,8392.31,USD
kraken:105348180,2026-08-20,2026-08-19,settled,250.00,USD
kraken:105348181,2026-08-20,2026-08-19,settled,4768.80,USD
kraken:105348182,2026-08-24,2026-08-21,settled,20847.50,USD
kraken:105348183,2026-08-20,2026-08-19,settled,1588.23,USD
kraken:105348184,2026-08-20,2026-08-19,settled,487.80,USD
kraken:105348185,2026-08-20,2026-08-19,settled,28582.71,USD
kraken:105348186,2026-08-20,2026-08-19,settled,604.74,USD
kraken:105348187,2026-08-20,2026-08-19,settled,2725.58,USD
kraken:105348188,2026-08-20,2026-08-19,settled,135583.50,USD
kraken:105348189,2026-08-20,2026-08-19,settled,30.15,USD
kraken:105348190,2026-08-20,2026-08-19,settled,246.31,USD
kraken:105348191,2026-08-20,2026-08-19,settled,9.41,USD
kraken:105348192,2026-08-20,2026-08-19,settled,2952.69,USD
kraken:105348193,2026-08-20,2026-08-19,settled,50943.64,USD
kraken:105348194,2026-08-20,2026-08-19,settled,80.76,USD
kraken:105348195,2026-08-20,2026-08-19,settled,28179.03,USD
kraken:105348196,2026-08-20,2026-08-19,settled,29927.73,USD
kraken:105348197,2026-08-20,2026-08-19,settled,37561.98,USD
kraken:105348198,2026-08-20,2026-08-19,settled,46142.06,USD
kraken:105348200,2026-08-20,2026-08-19,settled,26605.33,USD
kraken:105348201,2026-08-20,2026-08-19,settled,37396.81,USD
kraken:105348202,2026-08-20,2026-08-19,settled,65833.08,USD
kraken:105348203,2026-08-20,2026-08-19,settled,25759.91,USD
kraken:105348204,2026-08-20,2026-08-19,settled,27390.55,USD
kraken:105348205,2026-08-20,2026-08-19,settled,37742.52,USD
kraken:105348206,2026-08-20,2026-08-19,settled,2164.46,USD
kraken:105348207,2026-08-24,2026-08-21,settled,35265.78,USD
kraken:105348208,2026-08-20,2026-08-19,settled,40121.89,USD
kraken:105348209,2026-08-20,2026-08-19,settled,70152.48,USD
kraken:105348210,2026-08-20,2026-08-19,settled,56036.93,USD
kraken:105348211,2026-08-20,2026-08-19,settled,27921.53,USD
kraken:105348212,2026-08-20,2026-08-19,settled,72196.59,USD
kraken:105348213,2026-08-20,2026-08-19,settled,25649.93,USD
kraken:105348214,2026-08-20,2026-08-19,settled,30660.15,USD
kraken:105348215,2026-08-20,2026-08-19,settled,26401.00,USD
kraken:105348216,2026-08-20,2026-08-19,settled,51455.42,USD
kraken:105348217,2026-08-20,2026-08-22,settled,45677.91,USD
kraken:105348218,2026-08-20,2026-08-19,settled,7049.54,USD
kraken:105348219,2026-08-20,2026-08-19,settled,3813.86,USD
kraken:105348220,2026-08-20,2026-08-19,settled,1493.42,USD
kraken:105348221,2026-08-20,2026-08-19,settled,628.59,USD
kraken:105348222,2026-08-20,2026-08-19,settled,88.78,USD
kraken:105348223,2026-08-20,2026-08-19,settled,425.88,USD
kraken:105348224,2026-08-20,2026-08-19,settled,28.02,USD
kraken:105348225,2026-08-20,2026-08-19,settled,80.03,USD
kraken:105348226,2026-08-20,2026-08-19,settled,12.58,USD
kraken:105348228,2026-08-20,2026-08-19,settled,62.03,USD
kraken:105348229,2026-08-20,2026-08-19,settled,3484.27,USD
kraken:105348230,2026-08-20,2026-08-19,settled,1027.76,USD
kraken:105348231,2026-08-20,2026-08-19,settled,1027.76,USD
kraken:105348232,2026-08-20,2026-08-19,settled,446.87,USD
kraken:105348233,2026-08-20,2026-08-19,settled,9.54,USD
kraken:105348234,2026-08-20,2026-08-19,settled,72.24,USD
kraken:105348235,2026-08-20,2026-08-19,settled,54.67,USD
kraken:105348236,2026-08-20,2026-08-19,settled,1233.90,USD
kraken:105348237,2026-08-20,2026-08-19,settled,2164.46,USD
kraken:105348238,2026-08-20,2026-08-19,settled,276.12,USD
kraken:105348239,2026-08-20,2026-08-19,settled,155.69,USD
kraken:105348241,2026-08-20,2026-08-19,settled,21.29,USD
kraken:105348242,2026-08-24,2026-08-22,settled,3.43,USD
kraken:105348243,2026-08-20,2026-08-19,settled,11.95,USD
kraken:105348244,2026-08-20,2026-08-19,settled,3.43,USD
kraken:105348245,2026-08-20,2026-08-19,settled,3.43,USD
kraken:105348246,2026-08-20,2026-08-19,settled,3.43,USD
kraken:105348247,2026-08-20,2026-08-19,settled,3.56,USD
kraken:105348248,2026-08-20,2026-08-19,settled,3.43,USD
kraken:105348249,2026-08-20,2026-08-19,settled,3.43,USD
kraken:105348250,2026-08-20,2026-08-22,settled,3.43,USD
kraken:105348251,2026-08-24,2026-08-21,settled,3.43,USD
kraken:105348252,2026-08-20,2026-08-19,settled,3.43,USD
kraken:105348253,2026-08-20,2026-08-19,settled,3.43,USD
kraken:105348254,2026-08-20,2026-08-19,settled,3.43,USD
kraken:105348255,2026-08-20,2026-08-19,settled,3.88,USD
kraken:105348256,2026-08-20,2026-08-19,settled,3.70,USD
kraken:105348257,2026-08-20,2026-08-19,settled,3.43,USD
kraken:105348258,2026-08-20,2026-08-19,settled,3.43,USD
kraken:105348259,2026-08-20,2026-08-19,settled,3834.83,USD
kraken:105348260,2026-08-20,2026-08-19,settled,168162.11,USD
kraken:105348261,2026-08-20,2026-08-19,settled,50.01,USD
