trade_id_ref,gl_account,debit_credit,amount,currency,posted_at,posting_status
kraken:105347834,kraken:XBTUSD,D,4648.51,USD,2026-08-19T21:11:10.737160+00:00,posted
kraken:105347835,kraken:XBTUSD,D,3.50,USD,2026-08-19T19:35:13.764297+00:00,posted
kraken:105347836,kraken:XBTUSD,D,6859.87,USD,2026-08-19T22:22:43.189135+00:00,posted
kraken:105347837,kraken:XBTUSD,D,50.00,USD,2026-08-19T22:27:07.964460+00:00,posted
kraken:105347838,kraken:XBTUSD,D,19.97,USD,2026-08-19T19:35:29.105867+00:00,posted
kraken:105347839,kraken:XBTUSD,D,50.00,USD,2026-08-20T00:08:06.602228+00:00,posted
kraken:105347840,kraken:XBTUSD,C,4775.40,USD,2026-08-19T21:45:21.671388+00:00,posted
kraken:105347841,kraken:XBTUSD,C,13308.03,USD,2026-08-19T23:19:42.534481+00:00,posted
kraken:105347842,kraken:XBTUSD,D,99.97,USD,2026-08-19T19:57:09.387789+00:00,posted
kraken:105347843,kraken:XBTUSD,D,50.01,USD,2026-08-21T01:20:23.681282+00:00,posted
kraken:105347844,kraken:XBTUSD,D,8.37,USD,2026-08-21T20:26:39.515016+00:00,posted
kraken:105347845,kraken:XBTUSD,C,50.00,USD,2026-08-19T19:51:51.126790+00:00,posted
kraken:105347846,kraken:XBTUSD,C,68.63,USD,2026-08-19T23:33:37.847665+00:00,posted
kraken:105347847,kraken:XBTUSD,C,196.83,USD,2026-08-19T19:28:49.998024+00:00,posted
kraken:105347848,kraken:XBTUSD,C,50.00,USD,2026-08-19T22:47:33.496881+00:00,posted
kraken:105347849,kraken:XBTUSD,C,3.50,USD,2026-08-19T22:48:13.588507+00:00,posted
kraken:105347850,kraken:XBTUSD,C,159.24,USD,2026-08-19T21:54:16.666950+00:00,posted
kraken:105347851,kraken:XBTUSD,C,3.50,USD,2026-08-20T00:10:49.765440+00:00,posted
kraken:105347852,kraken:XBTUSD,C,28.74,USD,2026-08-19T21:24:34.328567+00:00,posted
kraken:105347853,kraken:XBTUSD,C,18.58,USD,2026-08-19T23:25:52.552647+00:00,posted
kraken:105347855,kraken:XBTUSD,D,24102.74,USD,2026-08-19T21:58:31.847713+00:00,posted
kraken:105347856,kraken:XBTUSD,C,3.43,USD,2026-08-19T21:58:27.375761+00:00,posted
kraken:105347857,kraken:XBTUSD,D,1028.96,USD,2026-08-19T20:04:50.915068+00:00,posted
kraken:105347858,kraken:XBTUSD,D,68.60,USD,2026-08-19T23:52:53.046547+00:00,posted
kraken:105347859,kraken:XBTUSD,D,50.00,USD,2026-08-21T16:56:40.965603+00:00,posted
kraken:105347861,kraken:XBTUSD,D,68.60,USD,2026-08-19T20:34:08.389858+00:00,posted
kraken:105347862,kraken:XBTUSD,D,1158.35,USD,2026-08-19T19:34:04.439028+00:00,posted
kraken:105347864,kraken:XBTUSD,D,585.65,USD,2026-08-19T22:39:23.667850+00:00,posted
kraken:105347865,kraken:XBTUSD,C,46.57,USD,2026-08-19T22:53:25.282844+00:00,posted
kraken:105347866,kraken:XBTUSD,C,1509.14,USD,2026-08-19T19:17:05.365594+00:00,posted
kraken:105347867,kraken:XBTUSD,C,372.89,USD,2026-08-22T01:02:36.628210+00:00,posted
kraken:105347868,kraken:XBTUSD,C,540.31,USD,2026-08-19T19:47:37.947788+00:00,posted
kraken:105347869,kraken:XBTUSD,D,7.83,USD,2026-08-19T19:35:20.757059+00:00,posted
kraken:105347870,kraken:XBTUSD,D,42.17,USD,2026-08-19T23:46:27.155257+00:00,posted
kraken:105347871,kraken:XBTUSD,D,68.60,USD,2026-08-19T21:59:42.063233+00:00,posted
kraken:105347872,kraken:XBTUSD,D,6.86,USD,2026-08-19T19:18:57.941422+00:00,posted
kraken:105347873,kraken:XBTUSD,D,392.33,USD,2026-08-20T00:07:12.323764+00:00,posted
kraken:105347874,kraken:XBTUSD,D,5350.59,USD,2026-08-19T20:01:04.116206+00:00,posted
kraken:105347875,kraken:XBTUSD,D,3241.25,USD,2026-08-19T21:49:16.627946+00:00,posted
kraken:105347876,kraken:XBTUSD,D,2286.38,USD,2026-08-20T00:04:47.053436+00:00,posted
kraken:105347877,kraken:XBTUSD,D,9997.18,USD,2026-08-22T06:54:59.823673+00:00,posted
kraken:105347878,kraken:XBTUSD,C,10.45,USD,2026-08-19T23:54:34.725001+00:00,posted
kraken:105347879,kraken:XBTUSD,D,6.65,USD,2026-08-19T21:36:16.583428+00:00,posted
kraken:105347880,kraken:XBTUSD,D,404.65,USD,2026-08-20T00:00:24.872166+00:00,posted
kraken:105347881,kraken:XBTUSD,D,28.00,USD,2026-08-19T22:51:25.038812+00:00,posted
kraken:105347882,kraken:XBTUSD,C,37.45,USD,2026-08-19T22:37:28.762175+00:00,posted
kraken:105347883,kraken:XBTUSD,C,1885.69,USD,2026-08-19T22:23:54.650838+00:00,posted
kraken:105347884,kraken:XBTUSD,C,68.60,USD,2026-08-19T23:39:07.607913+00:00,posted
kraken:105347885,kraken:XBTUSD,C,50.00,USD,2026-08-19T20:04:03.780188+00:00,posted
kraken:105347886,kraken:XBTUSD,C,1225.21,USD,2026-08-19T21:56:26.363302+00:00,posted
kraken:105347888,kraken:XBTUSD,C,99.99,USD,2026-08-19T19:01:41.072618+00:00,posted
kraken:105347889,kraken:XBTUSD,D,784.56,USD,2026-08-19T19:05:45.918068+00:00,posted
kraken:105347890,kraken:XBTUSD,D,4999.25,USD,2026-08-19T22:23:08.702550+00:00,posted
kraken:105347891,kraken:XBTUSD,D,50000.00,USD,2026-08-19T19:26:02.717145+00:00,posted
kraken:105347892,kraken:XBTUSD,D,432.07,USD,2026-08-22T00:15:51.938126+00:00,posted
kraken:105347893,kraken:XBTUSD,D,50.00,USD,2026-08-21T18:45:05.725024+00:00,posted
kraken:105347894,kraken:XBTUSD,D,68.58,USD,2026-08-19T19:45:13.058844+00:00,posted
kraken:105347895,kraken:XBTUSD,D,20.37,USD,2026-08-21T14:32:17.328598+00:00,posted
kraken:105347896,kraken:XBTUSD,D,11.18,USD,2026-08-19T22:42:58.644359+00:00,posted
kraken:105347897,kraken:XBTUSD,D,68.58,USD,2026-08-20T00:07:09.413725+00:00,posted
kraken:105347898,kraken:XBTUSD,D,6.86,USD,2026-08-21T10:29:34.432752+00:00,posted
kraken:105347899,kraken:XBTUSD,D,5348.99,USD,2026-08-19T20:04:26.337952+00:00,posted
kraken:105347900,kraken:XBTUSD,D,3421.46,USD,2026-08-19T21:10:25.490787+00:00,posted
kraken:105347901,kraken:XBTUSD,D,14799.62,USD,2026-08-19T20:14:18.136404+00:00,posted
kraken:105347902,kraken:XBTUSD,C,12.48,USD,2026-08-19T23:47:05.449133+00:00,posted
kraken:105347903,kraken:XBTUSD,C,124.67,USD,2026-08-19T23:26:42.702828+00:00,posted
kraken:105347904,kraken:XBTUSD,C,50.00,USD,2026-08-19T18:59:09.639479+00:00,posted
kraken:105347905,kraken:XBTUSD,C,68.58,USD,2026-08-19T23:18:21.336739+00:00,posted
kraken:105347906,kraken:XBTUSD,C,3.50,USD,2026-08-19T23:48:10.056818+00:00,posted
kraken:105347907,kraken:XBTUSD,C,738.03,USD,2026-08-19T19:37:20.950544+00:00,posted
kraken:105347908,kraken:XBTUSD,D,21.00,USD,2026-08-19T19:53:00.825770+00:00,posted
kraken:105347909,kraken:XBTUSD,C,50.00,USD,2026-08-19T19:01:50.391488+00:00,posted
kraken:105347910,kraken:XBTUSD,C,5348.62,USD,2026-08-20T00:07:38.587658+00:00,posted
kraken:105347911,kraken:XBTUSD,D,299.95,USD,2026-08-19T23:01:14.720549+00:00,posted
kraken:105347912,kraken:XBTUSD,C,99.97,USD,2026-08-19T21:02:13.077668+00:00,posted
kraken:105347913,kraken:XBTUSD,C,49.98,USD,2026-08-20T00:11:06.898697+00:00,posted
kraken:105347914,kraken:XBTUSD,C,0.02,USD,2026-08-19T22:39:43.806340+00:00,posted
kraken:105347915,kraken:XBTUSD,C,4100.21,USD,2026-08-21T02:23:13.879234+00:00,posted
kraken:105347916,kraken:XBTUSD,C,3.50,USD,2026-08-19T21:53:47.092247+00:00,posted
kraken:105347917,kraken:XBTUSD,D,4191.14,USD,2026-08-19T22:49:29.256632+00:00,posted
kraken:105347918,kraken:XBTUSD,D,784.44,USD,2026-08-22T03:38:38.659236+00:00,posted
kraken:105347919,kraken:XBTUSD,D,26226.97,USD,2026-08-19T23:23:36.014418+00:00,posted
kraken:105347920,kraken:XBTUSD,D,17266.38,USD,2026-08-19T20:55:54.187936+00:00,posted
kraken:105347921,kraken:XBTUSD,D,8136.01,USD,2026-08-19T21:50:39.005307+00:00,posted
kraken:105347922,kraken:XBTUSD,D,784.44,USD,2026-08-19T18:55:46.322449+00:00,posted
kraken:105347923,kraken:XBTUSD,D,26226.97,USD,2026-08-21T21:20:30.649976+00:00,posted
kraken:105347924,kraken:XBTUSD,D,19251.86,USD,2026-08-19T20:08:42.598309+00:00,posted
kraken:105347925,kraken:XBTUSD,D,11537.53,USD,2026-08-19T20:26:20.279413+00:00,posted
kraken:105347926,kraken:XBTUSD,D,784.44,USD,2026-08-19T19:25:50.929590+00:00,posted
kraken:105347927,kraken:XBTUSD,D,3420.13,USD,2026-08-19T21:13:32.586141+00:00,posted
kraken:105347928,kraken:XBTUSD,D,21127.82,USD,2026-08-19T23:51:27.078495+00:00,posted
kraken:105347930,kraken:XBTUSD,C,100.00,USD,2026-08-19T21:48:27.186566+00:00,posted
kraken:105347931,kraken:XBTUSD,C,50.00,USD,2026-08-21T18:29:36.787514+00:00,posted
kraken:105347932,kraken:XBTUSD,C,99.95,USD,2026-08-22T02:01:50.688327+00:00,posted
kraken:105347933,kraken:XBTUSD,C,3.50,USD,2026-08-19T19:34:43.299663+00:00,posted
kraken:105347935,kraken:XBTUSD,C,31673.21,USD,2026-08-20T00:08:27.436237+00:00,posted
kraken:105347936,kraken:XBTUSD,C,3255.99,USD,2026-08-19T18:45:15.119099+00:00,posted
kraken:105347937,kraken:XBTUSD,C,50.00,USD,2026-08-19T20:21:27.920871+00:00,posted
kraken:105347938,kraken:XBTUSD,C,50.00,USD,2026-08-19T23:52:31.035655+00:00,posted
kraken:105347939,kraken:XBTUSD,C,5786.22,USD,2026-08-19T19:20:45.709251+00:00,posted
kraken:105347940,kraken:XBTUSD,D,68.55,USD,2026-08-21T07:17:03.968638+00:00,posted
kraken:105347941,kraken:XBTUSD,D,50.00,USD,2026-08-19T22:39:30.918855+00:00,posted
kraken:105347942,kraken:XBTUSD,D,6.85,USD,2026-08-19T22:12:00.109136+00:00,posted
kraken:105347943,kraken:XBTUSD,D,68.55,USD,2026-08-19T21:23:55.128223+00:00,posted
kraken:105347944,kraken:XBTUSD,D,2254.45,USD,2026-08-19T23:21:55.051073+00:00,posted
kraken:105347945,kraken:XBTUSD,C,1000.82,USD,2026-08-21T07:29:33.160731+00:00,posted
kraken:105347947,kraken:XBTUSD,C,15.41,USD,2026-08-19T22:12:59.079876+00:00,posted
kraken:105347948,kraken:XBTUSD,D,49.01,USD,2026-08-19T22:47:22.985213+00:00,posted
kraken:105347949,kraken:XBTUSD,D,0.99,USD,2026-08-19T21:03:57.874853+00:00,posted
kraken:105347951,kraken:XBTUSD,D,68.55,USD,2026-08-19T21:42:52.361583+00:00,posted
kraken:105347952,kraken:XBTUSD,D,1031.05,USD,2026-08-19T21:55:03.363273+00:00,posted
kraken:105347953,kraken:XBTUSD,C,397.60,USD,2026-08-19T19:24:53.764812+00:00,posted
kraken:105347954,kraken:XBTUSD,C,102.10,USD,2026-08-19T23:39:30.177007+00:00,posted
kraken:105347955,kraken:XBTUSD,C,10.42,USD,2026-08-19T23:26:53.972096+00:00,posted
kraken:105347956,kraken:XBTUSD,C,50.00,USD,2026-08-19T19:52:12.476518+00:00,posted
kraken:105347957,kraken:XBTUSD,C,68.55,USD,2026-08-19T19:16:48.274768+00:00,posted
kraken:105347958,kraken:XBTUSD,C,2975.13,USD,2026-08-19T23:34:38.828148+00:00,posted
kraken:105347959,kraken:XBTUSD,C,32.28,USD,2026-08-19T22:07:42.670405+00:00,posted
kraken:105347960,kraken:XBTUSD,C,50.00,USD,2026-08-19T23:49:45.216615+00:00,posted
kraken:105347961,kraken:XBTUSD,C,50.00,USD,2026-08-20T00:05:02.459730+00:00,posted
kraken:105347962,kraken:XBTUSD,C,3.50,USD,2026-08-19T23:33:45.621130+00:00,posted
kraken:105347963,kraken:XBTUSD,C,595.40,USD,2026-08-19T23:01:04.832902+00:00,posted
kraken:105347964,kraken:XBTUSD,C,3.50,USD,2026-08-19T22:23:57.741438+00:00,posted
kraken:105347965,kraken:XBTUSD,C,99.99,USD,2026-08-19T20:04:47.291652+00:00,posted
kraken:105347966,kraken:XBTUSD,C,10.00,USD,2026-08-19T22:34:19.179709+00:00,posted
kraken:105347967,kraken:XBTUSD,C,0.55,USD,2026-08-19T18:55:40.618816+00:00,posted
kraken:105347968,kraken:XBTUSD,D,315.28,USD,2026-08-19T19:48:46.007810+00:00,posted
kraken:105347969,kraken:XBTUSD,C,30.44,USD,2026-08-19T20:38:18.142500+00:00,posted
kraken:105347970,kraken:XBTUSD,C,19.00,USD,2026-08-19T23:30:27.282412+00:00,posted
kraken:105347971,kraken:XBTUSD,C,178.29,USD,2026-08-19T22:20:43.743320+00:00,posted
kraken:105347972,kraken:XBTUSD,C,849.60,USD,2026-08-19T20:14:51.455609+00:00,posted
kraken:105347973,kraken:XBTUSD,C,1493.88,USD,2026-08-19T22:14:36.453425+00:00,posted
kraken:105347974,kraken:XBTUSD,C,27410.56,USD,2026-08-20T00:06:41.878808+00:00,posted
kraken:105347975,kraken:XBTUSD,C,64.80,USD,2026-08-19T23:52:52.010379+00:00,posted
kraken:105347976,kraken:XBTUSD,C,3.49,USD,2026-08-20T00:03:09.047099+00:00,posted
kraken:105347977,kraken:XBTUSD,C,8950.55,USD,2026-08-20T00:00:33.294453+00:00,posted
kraken:105347978,kraken:XBTUSD,C,280.95,USD,2026-08-19T19:18:41.485436+00:00,posted
kraken:105347979,kraken:XBTUSD,C,3.49,USD,2026-08-19T22:43:20.307202+00:00,posted
kraken:105347980,kraken:XBTUSD,C,99.97,USD,2026-08-19T22:02:58.050296+00:00,posted
kraken:105347981,kraken:XBTUSD,C,3.49,USD,2026-08-19T20:50:01.984581+00:00,posted
kraken:105347982,kraken:XBTUSD,C,29360.84,USD,2026-08-19T20:06:58.620623+00:00,posted
kraken:105347983,kraken:XBTUSD,D,784.34,USD,2026-08-19T18:43:30.265048+00:00,posted
kraken:105347984,kraken:XBTUSD,D,3804.77,USD,2026-08-19T21:40:38.127281+00:00,posted
kraken:105347985,kraken:XBTUSD,C,25.07,USD,2026-08-19T22:47:48.959492+00:00,posted
kraken:105347986,kraken:XBTUSD,D,47.15,USD,2026-08-19T20:43:10.065433+00:00,posted
kraken:105347987,kraken:XBTUSD,C,24.93,USD,2026-08-19T22:08:37.232489+00:00,posted
kraken:105347988,kraken:XBTUSD,C,8542.34,USD,2026-08-19T19:24:06.336622+00:00,posted
kraken:105347989,kraken:XBTUSD,D,2.85,USD,2026-08-19T21:30:21.331245+00:00,posted
kraken:105347990,kraken:XBTUSD,D,21.83,USD,2026-08-19T20:30:38.727181+00:00,posted
kraken:105347991,kraken:XBTUSD,D,46.70,USD,2026-08-19T21:45:59.049670+00:00,posted
kraken:105347992,kraken:XBTUSD,D,6.85,USD,2026-08-19T22:22:27.285409+00:00,posted
kraken:105347993,kraken:XBTUSD,D,68.53,USD,2026-08-19T22:49:54.746903+00:00,posted
kraken:105347994,kraken:XBTUSD,D,50.00,USD,2026-08-19T21:50:49.966658+00:00,posted
kraken:105347995,kraken:XBTUSD,D,3.49,USD,2026-08-19T23:18:09.440964+00:00,posted
kraken:105347996,kraken:XBTUSD,D,3.50,USD,2026-08-19T19:52:23.299773+00:00,posted
kraken:105347997,kraken:XBTUSD,D,318.31,USD,2026-08-19T22:03:13.581707+00:00,posted
kraken:105347998,kraken:XBTUSD,D,5262.95,USD,2026-08-19T21:08:50.316313+00:00,posted
kraken:105347999,kraken:XBTUSD,D,50.00,USD,2026-08-19T21:31:44.198318+00:00,posted
kraken:105348000,kraken:XBTUSD,D,2662.14,USD,2026-08-19T23:59:47.626853+00:00,posted
kraken:105348001,kraken:XBTUSD,D,5345.51,USD,2026-08-19T22:20:28.197931+00:00,posted
kraken:105348002,kraken:XBTUSD,D,392.18,USD,2026-08-19T22:22:07.259139+00:00,posted
kraken:105348003,kraken:XBTUSD,D,19236.92,USD,2026-08-19T19:13:52.019741+00:00,posted
kraken:105348004,kraken:XBTUSD,D,50000.00,USD,2026-08-19T20:00:33.351431+00:00,posted
kraken:105348005,kraken:XBTUSD,D,499.95,USD,2026-08-19T23:09:12.898493+00:00,posted
kraken:105348006,kraken:XBTUSD,D,3421.89,USD,2026-08-19T18:58:17.984798+00:00,posted
kraken:105348007,kraken:XBTUSD,D,99.99,USD,2026-08-19T22:04:46.177847+00:00,posted
kraken:105348008,kraken:XBTUSD,D,14033.03,USD,2026-08-19T21:13:20.193314+00:00,posted
kraken:105348009,kraken:XBTUSD,C,1905.19,USD,2026-08-19T21:53:05.726008+00:00,posted
kraken:105348010,kraken:XBTUSD,C,50.00,USD,2026-08-19T20:49:50.215854+00:00,posted
kraken:105348011,kraken:XBTUSD,C,68.53,USD,2026-08-19T19:31:49.354833+00:00,posted
kraken:105348012,kraken:XBTUSD,C,3.50,USD,2026-08-19T23:37:42.106759+00:00,posted
kraken:105348013,kraken:XBTUSD,C,3.49,USD,2026-08-19T23:35:19.653269+00:00,posted
kraken:105348014,kraken:XBTUSD,C,25.00,USD,2026-08-19T19:55:20.496709+00:00,posted
kraken:105348015,kraken:XBTUSD,C,3.49,USD,2026-08-19T22:32:46.495373+00:00,posted
kraken:105348016,kraken:XBTUSD,C,7233.71,USD,2026-08-19T21:47:04.076922+00:00,posted
kraken:105348017,kraken:XBTUSD,C,50.00,USD,2026-08-19T19:23:14.390581+00:00,posted
kraken:105348018,kraken:XBTUSD,C,1130.53,USD,2026-08-19T21:16:31.426419+00:00,posted
kraken:105348019,kraken:XBTUSD,C,15.96,USD,2026-08-19T21:47:38.211066+00:00,posted
kraken:105348020,kraken:XBTUSD,C,4761.99,USD,2026-08-19T22:52:25.440585+00:00,posted
kraken:105348021,kraken:XBTUSD,C,6.81,USD,2026-08-19T23:12:08.642864+00:00,posted
kraken:105348022,kraken:XBTUSD,C,171.35,USD,2026-08-19T21:04:00.981005+00:00,posted
kraken:105348023,kraken:XBTUSD,C,479.62,USD,2026-08-19T21:10:23.501899+00:00,posted
kraken:105348024,kraken:XBTUSD,C,5.36,USD,2026-08-19T23:27:32.314088+00:00,posted
kraken:105348025,kraken:XBTUSD,C,4.00,USD,2026-08-21T18:55:44.541276+00:00,posted
kraken:105348026,kraken:XBTUSD,C,1384.15,USD,2026-08-19T20:14:46.482915+00:00,posted
kraken:105348027,kraken:XBTUSD,D,19.80,USD,2026-08-19T21:23:16.107044+00:00,posted
kraken:105348028,kraken:XBTUSD,D,30.20,USD,2026-08-19T21:08:32.464372+00:00,posted
kraken:105348029,kraken:XBTUSD,D,68.52,USD,2026-08-21T03:27:30.659429+00:00,posted
kraken:105348030,kraken:XBTUSD,D,68.52,USD,2026-08-19T23:38:04.918314+00:00,posted
kraken:105348031,kraken:XBTUSD,D,6.85,USD,2026-08-21T12:36:31.485557+00:00,posted
kraken:105348032,kraken:XBTUSD,D,3395.80,USD,2026-08-19T19:53:59.253992+00:00,posted
kraken:105348033,kraken:XBTUSD,D,4997.83,USD,2026-08-19T20:32:34.438568+00:00,posted
kraken:105348034,kraken:XBTUSD,D,3421.14,USD,2026-08-19T19:03:55.848095+00:00,posted
kraken:105348035,kraken:XBTUSD,D,784.31,USD,2026-08-19T20:51:54.627916+00:00,posted
kraken:105348036,kraken:XBTUSD,D,37532.94,USD,2026-08-19T23:55:35.015290+00:00,posted
kraken:105348038,kraken:XBTUSD,C,474.10,USD,2026-08-19T21:53:22.299494+00:00,posted
kraken:105348039,kraken:XBTUSD,C,3.43,USD,2026-08-19T23:54:29.915619+00:00,posted
kraken:105348040,kraken:XBTUSD,C,50.00,USD,2026-08-19T20:52:06.967808+00:00,posted
kraken:105348041,kraken:XBTUSD,C,68.52,USD,2026-08-19T23:19:12.659858+00:00,posted
kraken:105348042,kraken:XBTUSD,C,3.49,USD,2026-08-19T22:45:50.986579+00:00,posted
kraken:105348043,kraken:XBTUSD,C,3.49,USD,2026-08-19T23:39:41.896855+00:00,posted
kraken:105348044,kraken:XBTUSD,C,216.91,USD,2026-08-19T20:13:29.351349+00:00,posted
kraken:105348045,kraken:XBTUSD,C,830.64,USD,2026-08-19T20:51:45.126693+00:00,posted
kraken:105348046,kraken:XBTUSD,D,17.13,USD,2026-08-19T23:06:48.984382+00:00,posted
kraken:105348047,kraken:XBTUSD,D,192.93,USD,2026-08-19T23:20:53.034716+00:00,posted
kraken:105348048,kraken:XBTUSD,D,2500.00,USD,2026-08-20T00:07:10.431666+00:00,posted
kraken:105348049,kraken:XBTUSD,D,50.00,USD,2026-08-19T23:42:54.630011+00:00,posted
kraken:105348051,kraken:XBTUSD,C,50.00,USD,2026-08-22T11:50:09.665661+00:00,posted
kraken:105348052,kraken:XBTUSD,C,2904.84,USD,2026-08-19T20:09:28.846430+00:00,posted
kraken:105348053,kraken:XBTUSD,C,561.78,USD,2026-08-19T21:13:40.798049+00:00,posted
kraken:105348054,kraken:XBTUSD,C,1500.00,USD,2026-08-19T23:33:54.623137+00:00,posted
kraken:105348055,kraken:XBTUSD,C,3957.98,USD,2026-08-19T23:57:31.592987+00:00,posted
kraken:105348056,kraken:XBTUSD,C,18863.73,USD,2026-08-19T23:19:08.987529+00:00,posted
kraken:105348057,kraken:XBTUSD,C,3421.62,USD,2026-08-19T22:50:48.431783+00:00,posted
kraken:105348058,kraken:XBTUSD,C,37250.35,USD,2026-08-19T22:18:10.604460+00:00,posted
kraken:105348059,kraken:XBTUSD,D,29.45,USD,2026-08-19T22:18:43.184745+00:00,posted
kraken:105348060,kraken:XBTUSD,D,6.85,USD,2026-08-19T23:57:00.754879+00:00,posted
kraken:105348061,kraken:XBTUSD,D,65.95,USD,2026-08-19T18:50:21.966914+00:00,posted
kraken:105348062,kraken:XBTUSD,D,2.56,USD,2026-08-19T19:25:20.186377+00:00,posted
kraken:105348063,kraken:XBTUSD,D,20.00,USD,2026-08-19T21:49:47.608796+00:00,posted
kraken:105348064,kraken:XBTUSD,D,2903.47,USD,2026-08-19T22:34:30.417505+00:00,posted
kraken:105348065,kraken:XBTUSD,D,2440.34,USD,2026-08-19T19:39:03.237606+00:00,posted
kraken:105348066,kraken:XBTUSD,D,46.32,USD,2026-08-19T22:50:29.940476+00:00,posted
kraken:105348067,kraken:XBTUSD,D,3.68,USD,2026-08-19T23:14:03.178022+00:00,posted
kraken:105348068,kraken:XBTUSD,D,6.85,USD,2026-08-19T19:19:21.370014+00:00,posted
kraken:105348069,kraken:XBTUSD,D,3.49,USD,2026-08-19T20:54:34.778516+00:00,posted
kraken:105348070,kraken:XBTUSD,D,53.53,USD,2026-08-19T19:08:45.750835+00:00,posted
kraken:105348071,kraken:XBTUSD,D,3.49,USD,2026-08-19T22:10:40.420007+00:00,posted
kraken:105348072,kraken:XBTUSD,D,124452.29,USD,2026-08-22T11:02:31.692289+00:00,posted
kraken:105348073,kraken:XBTUSD,D,30485.37,USD,2026-08-19T19:23:37.913771+00:00,posted
kraken:105348074,kraken:XBTUSD,D,44384.70,USD,2026-08-19T23:01:57.212116+00:00,posted
kraken:105348075,kraken:XBTUSD,D,63078.71,USD,2026-08-19T21:05:02.928165+00:00,posted
kraken:105348076,kraken:XBTUSD,D,45775.23,USD,2026-08-19T21:30:39.067616+00:00,posted
kraken:105348078,kraken:XBTUSD,D,546.34,USD,2026-08-19T19:18:30.880949+00:00,posted
kraken:105348079,kraken:XBTUSD,C,10.41,USD,2026-08-19T22:13:26.776672+00:00,posted
kraken:105348080,kraken:XBTUSD,C,23.00,USD,2026-08-19T22:37:07.766126+00:00,posted
kraken:105348081,kraken:XBTUSD,D,998.75,USD,2026-08-19T22:45:55.362669+00:00,posted
kraken:105348082,kraken:XBTUSD,D,35981.05,USD,2026-08-19T20:12:53.863249+00:00,posted
kraken:105348083,kraken:XBTUSD,D,31355.57,USD,2026-08-19T21:41:22.065605+00:00,posted
kraken:105348084,kraken:XBTUSD,D,51788.11,USD,2026-08-19T21:07:30.627808+00:00,posted
kraken:105348085,kraken:XBTUSD,D,129329.90,USD,2026-08-19T20:12:20.484686+00:00,posted
kraken:105348086,kraken:XBTUSD,D,51911.81,USD,2026-08-19T23:17:54.730354+00:00,posted
kraken:105348087,kraken:XBTUSD,D,112371.28,USD,2026-08-21T05:56:05.861408+00:00,posted
kraken:105348088,kraken:XBTUSD,D,47607.07,USD,2026-08-19T22:05:10.832873+00:00,posted
kraken:105348089,kraken:XBTUSD,D,54722.66,USD,2026-08-19T18:53:14.527508+00:00,posted
kraken:105348090,kraken:XBTUSD,D,52715.76,USD,2026-08-19T19:43:46.704533+00:00,posted
kraken:105348091,kraken:XBTUSD,D,43297.65,USD,2026-08-19T23:07:03.363885+00:00,posted
kraken:105348092,kraken:XBTUSD,D,44253.24,USD,2026-08-19T23:34:16.680033+00:00,posted
kraken:105348093,kraken:XBTUSD,D,30016.41,USD,2026-08-19T20:14:56.586481+00:00,posted
kraken:105348095,kraken:XBTUSD,D,150162.37,USD,2026-08-19T19:12:01.646308+00:00,posted
kraken:105348096,kraken:XBTUSD,D,4.48,USD,2026-08-21T15:21:52.911368+00:00,posted
kraken:105348097,kraken:XBTUSD,D,2164.46,USD,2026-08-22T06:38:52.916301+00:00,posted
