trade_id_ref,venue,actual_fee_usd,injected_discrepancy_type
kraken:105347868,kraken,4.32245774,none
kraken:105347869,kraken,0.06260464,none
kraken:105347870,kraken,0.33739994,none
kraken:105347871,kraken,0.54877840,none
kraken:105347872,kraken,0.05487784,none
kraken:105347873,kraken,4.47629187,rate_misapplied
kraken:105347874,kraken,42.80884656,rounding_error
kraken:105347875,kraken,25.93000440,none
kraken:105347876,kraken,18.29100358,none
kraken:105347877,kraken,79.97746585,none
kraken:105347878,kraken,0.08357334,none
kraken:105347879,kraken,0.05316565,none
kraken:105347880,kraken,3.23718342,none
kraken:105347881,kraken,0.22400037,none
kraken:105347882,kraken,0.29963257,none
kraken:105347883,kraken,15.08551208,none
kraken:105347884,kraken,0.54877760,none
kraken:105347885,kraken,0.40000399,none
kraken:105347886,kraken,9.80167830,none
kraken:105347887,kraken,0.79956080,none
kraken:105347888,kraken,0.79992878,none
kraken:105347889,kraken,6.27648888,none
kraken:105347890,kraken,39.99398976,none
kraken:105347891,kraken,399.99999831,none
kraken:105347892,kraken,3.45655600,none
kraken:105347893,kraken,0.40000025,none
kraken:105347894,kraken,0.54861440,none
kraken:105347895,kraken,0.16293848,none
kraken:105347896,kraken,0.08942415,none
kraken:105347897,kraken,0.54861440,none
kraken:105347898,kraken,0.05486144,none
kraken:105347899,kraken,42.79192320,none
kraken:105347900,kraken,27.37167263,none
kraken:105347901,kraken,118.39694547,none
kraken:105347902,kraken,0.09984768,none
kraken:105347903,kraken,0.99737952,none
kraken:105347904,kraken,0.39999966,none
kraken:105347905,kraken,0.54861360,none
kraken:105347906,kraken,0.02797880,none
kraken:105347907,kraken,5.90420585,none
kraken:105347908,kraken,0.16797069,none
kraken:105347909,kraken,0.40000434,none
kraken:105347910,kraken,42.78899040,none
kraken:105347911,kraken,2.39961149,none
kraken:105347912,kraken,1.59949366,double_billed
kraken:105347913,kraken,0.39987341,none
kraken:105347914,kraken,0.00012616,none
kraken:105347915,kraken,32.80168736,none
kraken:105347916,kraken,0.02797460,none
kraken:105347917,kraken,33.52912826,none
kraken:105347918,kraken,6.27548745,none
kraken:105347919,kraken,209.81576054,none
kraken:105347920,kraken,138.13104648,none
kraken:105347921,kraken,65.08808903,none
kraken:105347922,kraken,6.27548745,none
kraken:105347923,kraken,209.81576054,none
kraken:105347924,kraken,154.01485491,none
kraken:105347925,kraken,92.30022539,none
kraken:105347926,kraken,6.27548745,none
kraken:105347927,kraken,27.36101562,none
kraken:105347928,kraken,169.02256670,none
kraken:105347929,kraken,55.68421793,none
kraken:105347930,kraken,0.79999495,none
kraken:105347931,kraken,0.40000296,none
kraken:105347932,kraken,0.79956487,none
kraken:105347933,kraken,0.02796762,none
kraken:105347934,kraken,0.00114611,none
kraken:105347935,kraken,253.38567674,none
kraken:105347936,kraken,26.04789800,none
kraken:105347937,kraken,0.40232157,rounding_error
kraken:105347938,kraken,0.40000249,none
kraken:105347939,kraken,46.28978910,none
kraken:105347940,kraken,0.54837680,none
kraken:105347941,kraken,0.40000249,none
kraken:105347942,kraken,0.05483768,none
kraken:105347943,kraken,0.54837680,none
kraken:105347944,kraken,18.03560845,none
kraken:105347945,kraken,8.00655824,none
kraken:105347946,kraken,0.26067928,none
kraken:105347947,kraken,0.12331745,none
kraken:105347948,kraken,0.39206418,none
kraken:105347949,kraken,0.00794076,none
kraken:105347950,kraken,0.05483952,none
kraken:105347951,kraken,0.54839520,none
kraken:105347952,kraken,8.24836285,none
kraken:105347953,kraken,3.18078496,none
kraken:105347954,kraken,0.81681461,none
kraken:105347955,kraken,0.08335850,none
kraken:105347956,kraken,0.40000016,none
kraken:105347957,kraken,0.54841120,none
kraken:105347958,kraken,23.79625642,rounding_error
kraken:105347959,kraken,0.25826136,none
kraken:105347960,kraken,0.40000353,none
kraken:105347961,kraken,0.79999888,double_billed
kraken:105347962,kraken,0.02796342,none
kraken:105347964,kraken,0.02327612,rounding_error
kraken:105347965,kraken,0.79993118,none
kraken:105347966,kraken,0.07999498,none
kraken:105347967,kraken,0.00442955,none
kraken:105347968,kraken,2.52227956,none
kraken:105347969,kraken,0.24354831,none
kraken:105347970,kraken,0.15202445,none
kraken:105347971,kraken,1.42634138,none
kraken:105347972,kraken,6.79682662,none
kraken:105347973,kraken,11.95100416,none
kraken:105347974,kraken,219.28448000,none
kraken:105347975,kraken,0.51839512,none
kraken:105347976,kraken,0.02795779,none
kraken:105347977,kraken,71.60436624,none
kraken:105347978,kraken,2.24762144,none
kraken:105347979,kraken,0.02795640,none
kraken:105347980,kraken,0.79974910,none
kraken:105347982,kraken,234.88675841,none
kraken:105347983,kraken,6.27474859,none
kraken:105347984,kraken,30.44040808,rounding_error
kraken:105347985,kraken,0.20056738,none
kraken:105347986,kraken,0.37718410,none
kraken:105347987,kraken,0.19943259,none
kraken:105347988,kraken,68.33875956,none
kraken:105347989,kraken,0.02281645,none
kraken:105347990,kraken,0.17464836,none
kraken:105347991,kraken,0.37356044,none
kraken:105347992,kraken,0.05482088,none
kraken:105347993,kraken,0.55128902,rounding_error
kraken:105347994,kraken,0.40000055,none
kraken:105347995,kraken,0.02795918,none
kraken:105347996,kraken,0.02796057,none
kraken:105347997,kraken,2.54646466,none
kraken:105347998,kraken,84.20727952,double_billed
kraken:105347999,kraken,0.40000326,none
kraken:105348000,kraken,21.29714871,none
kraken:105348001,kraken,42.76409280,none
kraken:105348002,kraken,3.13746442,none
kraken:105348003,kraken,153.89536006,none
kraken:105348004,kraken,399.99999477,none
kraken:105348005,kraken,3.99958305,none
kraken:105348006,kraken,27.37510505,none
kraken:105348007,kraken,1.59986236,double_billed
kraken:105348008,kraken,112.26420492,none
kraken:105348009,kraken,15.24153904,none
kraken:105348010,kraken,0.40000268,none
kraken:105348011,kraken,0.54825680,none
kraken:105348012,kraken,0.02796061,none
kraken:105348013,kraken,0.02795922,none
kraken:105348014,kraken,0.19999724,none
kraken:105348015,kraken,0.02795779,none
kraken:105348016,kraken,57.86971806,none
kraken:105348017,kraken,0.40000341,none
kraken:105348018,kraken,9.04427040,none
kraken:105348020,kraken,38.09591949,none
kraken:105348021,kraken,0.05259352,rounding_error
kraken:105348023,kraken,3.83696320,none
kraken:105348024,kraken,0.04286436,none
kraken:105348025,kraken,0.03199479,none
kraken:105348027,kraken,0.15841748,none
kraken:105348028,kraken,0.24158652,none
kraken:105348029,kraken,0.54381801,rounding_error
kraken:105348030,kraken,0.54813840,none
kraken:105348031,kraken,0.05481384,none
kraken:105348032,kraken,27.16642428,none
kraken:105348033,kraken,39.98262361,none
kraken:105348034,kraken,27.36915326,none
kraken:105348035,kraken,8.36263639,rate_misapplied
kraken:105348036,kraken,300.26348986,none
kraken:105348037,kraken,8.49943807,none
kraken:105348038,kraken,3.79282168,none
kraken:105348039,kraken,0.02740688,none
kraken:105348040,kraken,0.40000341,none
kraken:105348041,kraken,0.54813760,none
kraken:105348042,kraken,0.02795359,none
kraken:105348043,kraken,0.02795220,none
kraken:105348044,kraken,1.73524445,none
kraken:105348045,kraken,6.64468186,rounding_error
kraken:105348046,kraken,0.13707561,none
kraken:105348047,kraken,1.54341325,none
kraken:105348048,kraken,19.99713146,rounding_error
kraken:105348049,kraken,0.40000208,none
kraken:105348050,kraken,0.31246771,none
kraken:105348051,kraken,0.40000150,none
kraken:105348052,kraken,23.23869376,none
kraken:105348053,kraken,4.49427568,none
kraken:105348054,kraken,11.99999559,none
kraken:105348055,kraken,31.66383286,none
kraken:105348056,kraken,150.90985754,none
kraken:105348057,kraken,27.37295603,none
kraken:105348058,kraken,298.00278704,none
kraken:105348059,kraken,0.23561549,none
kraken:105348060,kraken,0.10961664,double_billed
kraken:105348061,kraken,0.52762325,none
kraken:105348062,kraken,0.02045995,none
kraken:105348063,kraken,0.15999645,none
kraken:105348064,kraken,23.22779342,none
kraken:105348065,kraken,19.52269618,none
kraken:105348066,kraken,0.37057001,none
kraken:105348067,kraken,0.02943207,none
kraken:105348068,kraken,0.05480832,none
kraken:105348069,kraken,0.02795355,none
kraken:105348070,kraken,0.42824539,none
kraken:105348071,kraken,0.02795498,none
kraken:105348072,kraken,995.61830864,none
kraken:105348073,kraken,243.88295521,none
kraken:105348074,kraken,355.07763134,none
kraken:105348075,kraken,504.62964591,none
kraken:105348076,kraken,366.20187543,none
kraken:105348077,kraken,292.36087988,none
kraken:105348078,kraken,4.37072953,none
kraken:105348079,kraken,0.08331692,none
kraken:105348080,kraken,0.18399883,none
kraken:105348081,kraken,15.98001032,double_billed
kraken:105348082,kraken,287.84841273,none
kraken:105348083,kraken,250.84454310,none
kraken:105348084,kraken,414.30490633,none
kraken:105348085,kraken,1034.63916313,none
kraken:105348086,kraken,415.29448251,none
kraken:105348087,kraken,898.97027736,none
kraken:105348088,kraken,761.71305096,double_billed
kraken:105348089,kraken,437.78512137,rounding_error
kraken:105348090,kraken,421.72610280,none
kraken:105348091,kraken,346.38119637,none
kraken:105348092,kraken,354.02594012,none
kraken:105348093,kraken,240.13130963,none
kraken:105348094,kraken,1436.16779653,none
kraken:105348095,kraken,1201.29894991,none
kraken:105348096,kraken,0.03584825,none
kraken:105348097,kraken,17.31569206,none
kraken:105348098,kraken,3787.93507943,none
kraken:105348099,kraken,648.89361586,none
kraken:105348100,kraken,265.61182463,none
kraken:105348101,kraken,142.80123522,none
kraken:105348102,kraken,48.25047465,none
kraken:105348103,kraken,133.36474215,none
kraken:105348104,kraken,102.08027467,none
kraken:105348105,kraken,1.43191082,none
kraken:105348106,kraken,1.80945155,none
kraken:105348107,kraken,32.16116004,none
kraken:105348108,kraken,714.94390937,none
kraken:105348109,kraken,719.46695011,none
kraken:105348110,kraken,1.84944637,none
kraken:105348111,kraken,0.16399729,none
kraken:105348112,kraken,0.20532168,none
kraken:105348113,kraken,17.31569206,none
kraken:105348114,kraken,99.70703064,rate_misapplied
kraken:105348115,kraken,60.31842637,none
kraken:105348116,kraken,38.34634163,none
kraken:105348117,kraken,4.00000673,none
kraken:105348118,kraken,201.63658578,none
kraken:105348119,kraken,389.89179768,none
kraken:105348120,kraken,209.57595940,none
kraken:105348121,kraken,804.86115738,none
kraken:105348122,kraken,266.44211179,none
kraken:105348123,kraken,170.06165912,rate_misapplied
kraken:105348124,kraken,1064.00850631,none
kraken:105348125,kraken,1199.46659449,none
kraken:105348126,kraken,242.82137008,none
kraken:105348127,kraken,17.31569206,none
kraken:105348128,kraken,214.95432627,none
kraken:105348129,kraken,335.60076167,rate_misapplied
kraken:105348130,kraken,381.16713358,none
kraken:105348131,kraken,427.21745001,rounding_error
kraken:105348132,kraken,286.53476616,none
kraken:105348133,kraken,0.00071806,none
kraken:105348134,kraken,235.31544787,none
kraken:105348135,kraken,246.75672425,none
kraken:105348136,kraken,282.69286960,none
kraken:105348137,kraken,355.17467329,rate_misapplied
kraken:105348138,kraken,206.42542432,none
kraken:105348139,kraken,3787.93507943,none
kraken:105348140,kraken,3787.93507943,none
kraken:105348141,kraken,332.52164848,none
kraken:105348142,kraken,3787.93507943,none
kraken:105348143,kraken,17.41644538,none
kraken:105348144,kraken,393.58961059,none
kraken:105348145,kraken,939.69452675,none
kraken:105348146,kraken,353.05671632,none
kraken:105348147,kraken,723.34315466,none
kraken:105348148,kraken,491.49455610,none
kraken:105348149,kraken,1439.58019925,none
kraken:105348150,kraken,17.31569206,none
kraken:105348151,kraken,1215.00625236,double_billed
kraken:105348152,kraken,598.37170502,none
kraken:105348153,kraken,1195.13707949,none
kraken:105348154,kraken,122.39213507,none
kraken:105348155,kraken,26.25896471,none
kraken:105348156,kraken,13.72107717,none
kraken:105348157,kraken,0.25961479,none
kraken:105348158,kraken,40.93367459,rounding_error
kraken:105348159,kraken,2.10635884,none
kraken:105348160,kraken,0.15944250,none
kraken:105348161,kraken,0.42926363,none
kraken:105348162,kraken,0.08414473,none
kraken:105348163,kraken,30.74914456,none
kraken:105348164,kraken,0.23914730,none
kraken:105348165,kraken,1.05970501,none
kraken:105348166,kraken,2.97992700,none
kraken:105348167,kraken,63.15011069,none
kraken:105348168,kraken,13.90781148,none
kraken:105348169,kraken,27.94791068,none
kraken:105348170,kraken,13.00061502,none
kraken:105348171,kraken,27.69230278,none
kraken:105348172,kraken,19.53262137,none
kraken:105348173,kraken,0.31921388,none
kraken:105348174,kraken,4.88390766,none
kraken:105348175,kraken,7.48865038,none
kraken:105348176,kraken,14.51752226,double_billed
kraken:105348177,kraken,12.79355026,none
kraken:105348178,kraken,1.28565314,none
kraken:105348179,kraken,67.13846401,none
kraken:105348180,kraken,1.99999514,none
kraken:105348181,kraken,38.15037696,none
kraken:105348182,kraken,166.77996388,none
kraken:105348183,kraken,12.70584811,none
kraken:105348184,kraken,3.90243845,none
kraken:105348185,kraken,228.66171642,none
kraken:105348186,kraken,4.83791727,none
kraken:105348187,kraken,21.80463311,none
kraken:105348188,kraken,1084.66812868,rounding_error
kraken:105348189,kraken,0.24117506,none
kraken:105348190,kraken,1.97044244,none
kraken:105348191,kraken,0.07527037,none
kraken:105348192,kraken,23.62152944,none
kraken:105348193,kraken,407.54914988,none
kraken:105348194,kraken,0.64604140,none
kraken:105348195,kraken,225.43220556,none
kraken:105348196,kraken,334.69670332,rate_misapplied
kraken:105348197,kraken,300.49584573,none
kraken:105348198,kraken,369.13644946,none
kraken:105348199,kraken,249.77895657,none
kraken:105348200,kraken,212.84260664,none
kraken:105348201,kraken,299.17447590,none
kraken:105348202,kraken,526.66467804,none
kraken:105348203,kraken,206.07929136,none
kraken:105348204,kraken,219.12443166,none
kraken:105348205,kraken,301.94017945,none
kraken:105348206,kraken,17.31569206,none
kraken:105348207,kraken,282.12622605,none
kraken:105348208,kraken,320.97515693,none
kraken:105348209,kraken,561.21984351,none
kraken:105348210,kraken,448.29545088,none
kraken:105348211,kraken,223.37227953,none
kraken:105348212,kraken,577.57273046,none
kraken:105348213,kraken,205.19943605,none
kraken:105348214,kraken,245.28116856,none
kraken:105348215,kraken,211.20797023,none
kraken:105348216,kraken,411.64338196,none
kraken:105348217,kraken,365.42331061,none
kraken:105348218,kraken,56.39633749,none
kraken:105348219,kraken,30.51091813,none
kraken:105348220,kraken,11.94738353,none
kraken:105348221,kraken,5.02875872,none
kraken:105348222,kraken,0.71021196,none
kraken:105348223,kraken,3.40700904,none
kraken:105348224,kraken,0.22417764,none
kraken:105348225,kraken,0.64022565,none
kraken:105348226,kraken,0.10066014,none
kraken:105348227,kraken,0.09286013,none
kraken:105348228,kraken,0.49621873,none
kraken:105348229,kraken,27.87413125,none
kraken:105348230,kraken,8.22206400,none
kraken:105348231,kraken,8.22206400,none
kraken:105348232,kraken,3.57499180,none
kraken:105348233,kraken,0.07632268,none
kraken:105348234,kraken,0.57792340,none
kraken:105348235,kraken,0.43732610,none
kraken:105348236,kraken,9.87117982,none
kraken:105348237,kraken,17.31569206,none
kraken:105348238,kraken,2.20892101,none
kraken:105348239,kraken,1.24554585,none
kraken:105348240,kraken,2.45912427,none
kraken:105348241,kraken,0.17028468,none
kraken:105348242,kraken,0.02740692,none
kraken:105348243,kraken,0.09562823,none
kraken:105348244,kraken,0.02391523,rounding_error
kraken:105348245,kraken,0.02740692,none
kraken:105348246,kraken,0.02740692,none
kraken:105348247,kraken,0.02845935,none
kraken:105348248,kraken,0.02740692,none
kraken:105348249,kraken,0.02740692,none
kraken:105348250,kraken,0.02740692,none
kraken:105348251,kraken,0.03073583,rounding_error
kraken:105348252,kraken,0.02740692,none
kraken:105348253,kraken,0.02740692,none
kraken:105348254,kraken,0.02740692,none
kraken:105348255,kraken,0.06204926,double_billed
kraken:105348256,kraken,0.02962140,none
kraken:105348257,kraken,0.02740692,none
kraken:105348258,kraken,0.02740692,none
kraken:105348259,kraken,30.67862107,none
kraken:105348260,kraken,1345.29686992,none
kraken:105348261,kraken,0.40004237,none
kraken:105348262,kraken,0.15999612,none
kraken:105348263,kraken,0.05481384,none
kraken:105348264,kraken,0.54813840,none
kraken:105348265,kraken,219.25536000,none
kraken:105348266,kraken,0.07243101,none
kraken:105348267,kraken,0.02795775,none
kraken:105348268,kraken,0.02795918,none
kraken:105348269,kraken,0.02796057,none
kraken:105348270,kraken,0.17970447,none
kraken:105348271,kraken,0.21213877,none
kraken:105348272,kraken,0.60630746,none
kraken:105348273,kraken,0.40000174,none
kraken:105348274,kraken,0.04413776,none
kraken:105348275,kraken,0.15999826,none
kraken:105348276,kraken,0.00804899,none
kraken:105348277,kraken,0.39195488,none
kraken:105348278,kraken,0.54829600,none
kraken:105348279,kraken,0.05482960,none
kraken:105348280,kraken,0.15999826,none
kraken:105348281,kraken,0.02796338,none
kraken:105348282,kraken,0.37783857,rounding_error
kraken:105348283,kraken,0.40000259,none
kraken:105348284,kraken,0.15999884,none
kraken:105348285,kraken,72.61231625,none
kraken:105348286,kraken,0.54831680,none
kraken:105348287,kraken,0.05483168,none
kraken:105348288,kraken,0.79959053,none
kraken:105348289,kraken,0.40000366,none
kraken:105348290,kraken,0.15999488,none
kraken:105348291,kraken,7.18034488,none
coinbase:1073145682,coinbase,16.45554480,none
coinbase:1073145683,coinbase,5.54658490,none
coinbase:1073145684,coinbase,0.00002468,none
coinbase:1073145685,coinbase,0.00000411,none
coinbase:1073145687,coinbase,0.00000411,none
coinbase:1073145688,coinbase,0.00000411,none
coinbase:1073145702,coinbase,434.37616408,rounding_error
coinbase:1073145700,coinbase,4.94519540,rate_misapplied
coinbase:1073145699,coinbase,1.20102826,none
coinbase:1073145698,coinbase,0.23711803,none
coinbase:1073145697,coinbase,3.14981340,none
coinbase:1073145696,coinbase,0.44998248,none
coinbase:1073145695,coinbase,2.51993480,none
coinbase:1073145694,coinbase,0.01200021,none
coinbase:1073145693,coinbase,15.67390642,none
coinbase:1073145692,coinbase,30.55869131,none
coinbase:1073145691,coinbase,2.51999802,none
coinbase:1073145690,coinbase,9.23388086,none
coinbase:1073145689,coinbase,17.35572892,none
coinbase:1073145703,coinbase,0.00000411,none
coinbase:1073145704,coinbase,0.00003702,none
coinbase:1073145705,coinbase,0.00000411,none
coinbase:1073145707,coinbase,11.37373959,none
coinbase:1073145706,coinbase,0.44994134,none
coinbase:1073145708,coinbase,0.00001645,none
coinbase:1073145709,coinbase,0.00000411,none
coinbase:1073145710,coinbase,0.00000411,none
coinbase:1073145711,coinbase,0.00000411,none
coinbase:1073145712,coinbase,0.00000411,none
coinbase:1073145713,coinbase,0.00000411,none
coinbase:1073145714,coinbase,0.00009462,none
coinbase:1073145715,coinbase,0.00000411,none
coinbase:1073145716,coinbase,0.00001234,none
coinbase:1073145717,coinbase,0.00000411,none
coinbase:1073145718,coinbase,0.00000411,none
coinbase:1073145723,coinbase,17.78348360,none
coinbase:1073145722,coinbase,9.38702489,none
coinbase:1073145721,coinbase,15.67338521,none
coinbase:1073145719,coinbase,18.49970383,none
coinbase:1073145724,coinbase,3.79743909,none
coinbase:1073145725,coinbase,0.66189264,rounding_error
coinbase:1073145726,coinbase,0.25632772,double_billed
coinbase:1073145728,coinbase,0.54851500,none
coinbase:1073145727,coinbase,8.40070822,none
coinbase:1073145729,coinbase,0.23684089,none
coinbase:1073145730,coinbase,0.95735587,none
coinbase:1073145731,coinbase,0.60178806,none
coinbase:1073145732,coinbase,0.89150297,none
coinbase:1073145733,coinbase,3.25776042,none
coinbase:1073145734,coinbase,0.60520658,none
coinbase:1073145735,coinbase,0.79641366,none
coinbase:1073145736,coinbase,0.10817104,none
coinbase:1073145737,coinbase,0.28995763,none
coinbase:1073145738,coinbase,0.67377867,none
coinbase:1073145739,coinbase,0.08706751,none
coinbase:1073145740,coinbase,6.13407344,none
coinbase:1073145741,coinbase,0.09143219,none
coinbase:1073145742,coinbase,0.12639495,none
coinbase:1073145743,coinbase,0.82202175,none
coinbase:1073145746,coinbase,0.44999736,none
coinbase:1073145745,coinbase,2.51999649,none
coinbase:1073145744,coinbase,23.39603235,none
coinbase:1073145747,coinbase,2.50932418,none
coinbase:1073145749,coinbase,0.06283477,none
coinbase:1073145748,coinbase,0.00699282,none
coinbase:1073145750,coinbase,4.05046523,none
coinbase:1073145751,coinbase,0.00699249,none
coinbase:1073145752,coinbase,0.00000411,none
coinbase:1073145753,coinbase,0.00004524,none
coinbase:1073145754,coinbase,0.00000411,none
coinbase:1073145755,coinbase,0.29695704,none
coinbase:1073145756,coinbase,0.00000411,none
coinbase:1073145757,coinbase,0.00000411,none
coinbase:1073145758,coinbase,0.00003702,none
coinbase:1073145763,coinbase,11.77774152,none
coinbase:1073145762,coinbase,18.09735312,none
coinbase:1073145761,coinbase,15.67066259,none
coinbase:1073145760,coinbase,0.01883770,none
coinbase:1073145759,coinbase,0.00690579,none
coinbase:1073145764,coinbase,0.00001234,none
coinbase:1073145766,coinbase,1.00276631,none
coinbase:1073145765,coinbase,0.02167132,none
coinbase:1073145767,coinbase,0.00010282,none
coinbase:1073145768,coinbase,0.00006581,none
coinbase:1073145769,coinbase,0.00000411,none
coinbase:1073145770,coinbase,0.00088018,double_billed
coinbase:1073145771,coinbase,0.00000411,none
coinbase:1073145772,coinbase,0.00004936,none
coinbase:1073145773,coinbase,0.00000411,none
coinbase:1073145774,coinbase,0.03455729,none
coinbase:1073145775,coinbase,0.00005758,none
coinbase:1073145776,coinbase,0.00000411,none
coinbase:1073145781,coinbase,357.88591280,none
coinbase:1073145780,coinbase,0.00699183,none
coinbase:1073145779,coinbase,10.44698038,none
coinbase:1073145778,coinbase,42.32263827,none
coinbase:1073145777,coinbase,30.34637214,none
coinbase:1073145782,coinbase,0.00002879,none
coinbase:1073145783,coinbase,0.00005347,none
coinbase:1073145784,coinbase,0.00000411,none
coinbase:1073145785,coinbase,74.03341439,none
coinbase:1073145786,coinbase,62.88318300,none
coinbase:1073145787,coinbase,18.09588000,none
coinbase:1073145788,coinbase,0.00000411,none
coinbase:1073145790,coinbase,10.44612694,none
coinbase:1073145789,coinbase,0.00698739,none
coinbase:1073145791,coinbase,0.00000411,none
coinbase:1073145792,coinbase,2.24978886,none
coinbase:1073145793,coinbase,2.99977742,none
kraken:105348292,kraken,0.05275206,none
coinbase:1073145796,coinbase,10.44563621,none
coinbase:1073145795,coinbase,0.00840997,none
coinbase:1073145794,coinbase,0.00699117,none
coinbase:1073145797,coinbase,0.00000411,none
coinbase:1073145798,coinbase,0.00003701,none
coinbase:1073145799,coinbase,0.00000411,none
coinbase:1073145800,coinbase,61.21510737,none
coinbase:1073145802,coinbase,0.25273368,none
coinbase:1073145805,coinbase,4.06622570,none
coinbase:1073145804,coinbase,4.90206949,none
coinbase:1073145806,coinbase,1.54229397,none
coinbase:1073145807,coinbase,0.23735318,none
coinbase:1073145808,coinbase,14.54622658,double_billed
coinbase:1073145809,coinbase,0.11116729,none
coinbase:1073145810,coinbase,1.22453039,none
coinbase:1073145811,coinbase,7.45121865,none
coinbase:1073145812,coinbase,4.72926505,none
coinbase:1073145813,coinbase,0.55127987,none
coinbase:1073145814,coinbase,1.28320658,none
coinbase:1073145815,coinbase,0.00000411,none
coinbase:1073145818,coinbase,0.00690832,rounding_error
coinbase:1073145817,coinbase,10.44514700,none
coinbase:1073145816,coinbase,61.68393078,none
coinbase:1073145821,coinbase,0.00699052,none
coinbase:1073145820,coinbase,411.21000000,none
coinbase:1073145819,coinbase,4.11210000,none
coinbase:1073145822,coinbase,12.33378191,rounding_error
coinbase:1073145824,coinbase,4.11180000,none
coinbase:1073145823,coinbase,0.00699019,none
coinbase:1073145826,coinbase,0.05527992,none
coinbase:1073145825,coinbase,0.00698986,none
kraken:105348293,kraken,0.34725102,none
kraken:105348294,kraken,0.54841520,none
kraken:105348295,kraken,15.99999701,none
kraken:105348296,kraken,36.57929384,none
kraken:105348297,kraken,0.02796901,none
coinbase:1073145827,coinbase,0.00000411,none
coinbase:1073145828,coinbase,0.00001234,none
coinbase:1073145829,coinbase,0.00465865,rounding_error
coinbase:1073145830,coinbase,0.00000411,none
coinbase:1073145831,coinbase,0.00000411,none
coinbase:1073145832,coinbase,0.00000411,none
coinbase:1073145833,coinbase,0.00000411,none
coinbase:1073145834,coinbase,-0.00259724,rounding_error
coinbase:1073145835,coinbase,0.00006168,none
coinbase:1073145836,coinbase,0.00005756,none
coinbase:1073145837,coinbase,0.00000822,none
coinbase:1073145838,coinbase,0.00002056,none
coinbase:1073145839,coinbase,0.00000411,none
coinbase:1073145840,coinbase,0.17186547,rate_misapplied
coinbase:1073145841,coinbase,5.93817856,none
coinbase:1073145853,coinbase,109.48010699,none
coinbase:1073145852,coinbase,0.00698953,none
coinbase:1073145851,coinbase,4.11150000,none
coinbase:1073145850,coinbase,13.60916558,none
coinbase:1073145849,coinbase,19.27685426,none
coinbase:1073145848,coinbase,0.01889735,none
coinbase:1073145847,coinbase,0.01200204,none
coinbase:1073145846,coinbase,9.58755312,none
coinbase:1073145845,coinbase,27.17974290,none
coinbase:1073145844,coinbase,190.96667011,none
coinbase:1073145843,coinbase,7.85338902,none
coinbase:1073145842,coinbase,29.85884409,none
kraken:105348298,kraken,0.76731737,rounding_error
coinbase:1073145854,coinbase,2.26474830,none
coinbase:1073145855,coinbase,0.00007401,none
coinbase:1073145856,coinbase,0.00000411,none
coinbase:1073145857,coinbase,0.00000411,none
coinbase:1073145858,coinbase,0.00000411,none
coinbase:1073145861,coinbase,0.68762774,none
coinbase:1073145860,coinbase,31.28174357,none
coinbase:1073145859,coinbase,29.85858273,none
coinbase:1073145862,coinbase,3.18782685,none
coinbase:1073145863,coinbase,0.06304464,none
coinbase:1073145864,coinbase,0.28670406,rounding_error
